// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B414FF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
34038		0.306601	0.731284	0.108102	0.599612	99.132142	-54.162875	63.901958
34039		0.306653	0.731293	0.108239	0.599549	99.136886	-54.145617	63.903725
34040		0.306688	0.731263	0.108356	0.599547	99.130652	-54.134011	63.916386
34041		0.306773	0.731209	0.108382	0.599564	99.114517	-54.126812	63.927184
34042		0.306870	0.731128	0.108369	0.599616	99.089758	-54.123447	63.942278
34043		0.307047	0.731048	0.108266	0.599641	99.061459	-54.120102	63.946343
34044		0.307119	0.730945	0.108255	0.599731	99.031282	-54.120090	63.969332
34045		0.307256	0.730852	0.108193	0.599787	99.001003	-54.117864	63.982393
34046		0.307303	0.730764	0.108233	0.599862	98.976687	-54.114953	64.005922
34047		0.307327	0.730663	0.108337	0.599954	98.950753	-54.109462	64.038417
34048		0.307364	0.730582	0.108421	0.600019	98.929565	-54.103320	64.063414
34049		0.307519	0.730514	0.108378	0.600030	98.906525	-54.096222	64.069050
34050		0.307606	0.730432	0.108388	0.600083	98.882382	-54.091919	64.086366
34051		0.307669	0.730336	0.108415	0.600162	98.855326	-54.088955	64.110200
34052		0.307802	0.730255	0.108372	0.600200	98.829172	-54.084654	64.120909
34053		0.307753	0.730163	0.108467	0.600321	98.806823	-54.086380	64.155812
34054		0.307790	0.730138	0.108499	0.600327	98.799939	-54.081528	64.162040
34055		0.307653	0.730123	0.108682	0.600383	98.803035	-54.079667	64.186376
34056		0.307605	0.730140	0.108791	0.600366	98.811424	-54.073787	64.191251
34057		0.307414	0.730155	0.109074	0.600395	98.826417	-54.066681	64.216702
34058		0.307330	0.730208	0.109255	0.600340	98.847183	-54.056083	64.218226
34059		0.307299	0.730249	0.109394	0.600280	98.862744	-54.044664	64.216778
34060		0.307273	0.730268	0.109542	0.600243	98.872211	-54.033317	64.221690
34061		0.307203	0.730294	0.109734	0.600212	98.885639	-54.021987	64.230330
34062		0.307097	0.730317	0.109948	0.600200	98.899436	-54.012284	64.243694
34063		0.306840	0.730388	0.110256	0.600188	98.931985	-54.005987	64.259465
34064		0.306493	0.730514	0.110653	0.600139	98.983618	-53.997537	64.271445
34065		0.306095	0.730690	0.111083	0.600048	99.051224	-53.988098	64.274688
34066		0.305541	0.730891	0.111657	0.599980	99.132576	-53.979644	64.290146
34067		0.304985	0.731082	0.112249	0.599920	99.211614	-53.970327	64.309460
34068		0.304532	0.731258	0.112721	0.599847	99.281680	-53.962395	64.318633
34069		0.304217	0.731358	0.113086	0.599816	99.325089	-53.955034	64.333423
34070		0.304121	0.731408	0.113213	0.599779	99.344266	-53.950241	64.333259
34071		0.304217	0.731416	0.113139	0.599735	99.342538	-53.947133	64.320202
34072		0.304344	0.731389	0.113006	0.599729	99.328918	-53.948146	64.311408
34073		0.304470	0.731340	0.112873	0.599749	99.309428	-53.950473	64.308749
34074		0.304586	0.731327	0.112745	0.599731	99.300080	-53.951355	64.297227
34075		0.304690	0.731364	0.112640	0.599653	99.305453	-53.948514	64.273702
34076		0.304693	0.731400	0.112641	0.599607	99.315458	-53.945997	64.263418
34077		0.304670	0.731444	0.112668	0.599559	99.328832	-53.943353	64.254173
34078		0.304627	0.731500	0.112697	0.599508	99.345748	-53.941729	64.243348
34079		0.304647	0.731551	0.112681	0.599439	99.358937	-53.938298	64.226874
34080		0.304656	0.731569	0.112646	0.599418	99.363057	-53.939336	64.219082
34081		0.304692	0.731579	0.112567	0.599403	99.362875	-53.942291	64.209552
34082		0.304786	0.731556	0.112448	0.599406	99.351566	-53.944961	64.202598
34083		0.305020	0.731521	0.112204	0.599375	99.330827	-53.945940	64.182199
34084		0.305209	0.731465	0.112021	0.599381	99.306912	-53.946957	64.174167
34085		0.305400	0.731395	0.111817	0.599407	99.278523	-53.950537	64.168632
34086		0.305537	0.731348	0.111693	0.599418	99.259634	-53.950956	64.165164
34087		0.305616	0.731296	0.111638	0.599452	99.242067	-53.951190	64.171151
