// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4151A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
34038		0.849583	-0.043637	-0.524042	-0.041040	-3.984549	-63.382329	-3.070491
34039		0.849600	-0.043747	-0.524004	-0.041055	-4.006619	-63.377643	-3.058946
34040		0.849628	-0.043742	-0.523963	-0.041004	-4.012182	-63.371907	-3.048847
34041		0.849651	-0.043817	-0.523917	-0.041034	-4.024352	-63.366150	-3.045473
34042		0.849701	-0.043820	-0.523838	-0.041008	-4.028422	-63.355323	-3.039577
34043		0.849746	-0.043793	-0.523773	-0.040926	-4.033530	-63.346162	-3.025576
34044		0.849807	-0.043837	-0.523670	-0.040932	-4.042029	-63.332496	-3.021422
34045		0.849858	-0.043777	-0.523601	-0.040828	-4.042995	-63.322505	-3.006940
34046		0.849905	-0.043815	-0.523520	-0.040848	-4.048241	-63.311825	-3.006650
34047		0.849946	-0.043885	-0.523446	-0.040867	-4.060923	-63.302153	-3.001619
34048		0.849990	-0.043912	-0.523372	-0.040866	-4.066739	-63.292367	-2.998081
34049		0.850016	-0.043841	-0.523346	-0.040747	-4.067273	-63.288016	-2.981715
34050		0.850040	-0.043864	-0.523307	-0.040727	-4.074736	-63.282690	-2.974644
34051		0.850059	-0.043960	-0.523263	-0.040772	-4.089394	-63.277402	-2.971801
34052		0.850082	-0.043991	-0.523223	-0.040779	-4.095210	-63.272177	-2.969270
34053		0.850094	-0.044125	-0.523186	-0.040862	-4.113067	-63.268014	-2.969516
34054		0.850123	-0.044165	-0.523136	-0.040852	-4.123118	-63.261397	-2.962028
34055		0.850140	-0.044182	-0.523113	-0.040772	-4.137339	-63.257920	-2.942621
34056		0.850167	-0.044226	-0.523067	-0.040753	-4.149456	-63.251905	-2.932744
34057		0.850169	-0.044330	-0.523051	-0.040804	-4.165072	-63.250261	-2.930097
34058		0.850193	-0.044362	-0.523011	-0.040783	-4.174775	-63.244903	-2.921307
34059		0.850201	-0.044370	-0.523001	-0.040739	-4.182406	-63.243448	-2.910711
34060		0.850208	-0.044376	-0.522991	-0.040712	-4.187207	-63.242004	-2.904246
34061		0.850207	-0.044519	-0.522973	-0.040815	-4.204503	-63.240480	-2.907439
34062		0.850193	-0.044521	-0.522997	-0.040799	-4.207093	-63.243629	-2.903689
34063		0.850180	-0.044527	-0.523022	-0.040735	-4.216873	-63.246779	-2.888995
34064		0.850166	-0.044529	-0.523046	-0.040720	-4.219464	-63.249929	-2.885243
34065		0.850145	-0.044684	-0.523057	-0.040841	-4.236952	-63.252494	-2.890799
34066		0.850131	-0.044712	-0.523080	-0.040818	-4.246296	-63.255553	-2.881824
34067		0.850113	-0.044797	-0.523097	-0.040862	-4.258840	-63.258399	-2.879921
34068		0.850113	-0.044823	-0.523099	-0.040827	-4.269164	-63.258490	-2.868849
34069		0.850098	-0.044855	-0.523121	-0.040820	-4.277025	-63.261618	-2.863066
34070		0.850097	-0.044840	-0.523127	-0.040780	-4.279110	-63.262089	-2.856350
34071		0.850116	-0.044783	-0.523111	-0.040652	-4.283755	-63.259186	-2.836294
34072		0.850144	-0.044760	-0.523071	-0.040607	-4.284781	-63.253494	-2.829741
34073		0.850177	-0.044820	-0.523007	-0.040665	-4.289816	-63.245287	-2.834641
34074		0.850219	-0.044801	-0.522942	-0.040653	-4.287181	-63.236507	-2.834871
34075		0.850260	-0.044732	-0.522884	-0.040609	-4.277944	-63.228241	-2.834741
34076		0.850311	-0.044659	-0.522810	-0.040587	-4.264737	-63.217901	-2.840236
34077		0.850370	-0.044463	-0.522745	-0.040399	-4.247338	-63.207553	-2.825717
34078		0.850435	-0.044409	-0.522643	-0.040395	-4.235875	-63.193693	-2.832560
34079		0.850503	-0.044332	-0.522545	-0.040320	-4.228810	-63.179802	-2.827118
34080		0.850582	-0.044302	-0.522420	-0.040297	-4.225056	-63.162881	-2.826654
34081		0.850648	-0.044273	-0.522317	-0.040281	-4.220692	-63.148856	-2.827469
34082		0.850738	-0.044233	-0.522174	-0.040288	-4.210911	-63.129500	-2.834817
34083		0.850827	-0.044090	-0.522050	-0.040164	-4.195962	-63.111741	-2.827770
34084		0.850895	-0.044031	-0.521944	-0.040169	-4.182500	-63.097267	-2.836928
34085		0.850967	-0.044062	-0.521816	-0.040280	-4.174152	-63.080738	-2.857381
34086		0.851067	-0.044038	-0.521650	-0.040327	-4.162158	-63.058615	-2.871604
34087		0.851156	-0.044007	-0.521506	-0.040353	-4.151868	-63.039345	-2.881785
34088		0.851226	-0.043938	-0.521398	-0.040350	-4.137154	-63.024517	-2.890666
34089		0.851294	-0.044117	-0.521255	-0.040552	-4.148792	-63.006940	-2.911113
34090		0.851404	-0.044250	-0.521057	-0.040661	-4.162714	-62.981238	-2.917798
34091		0.851483	-0.044225	-0.520929	-0.040653	-4.158166	-62.964021	-2.919843
34092		0.851468	-0.044091	-0.520971	-0.040590	-4.137661	-62.968826	-2.923815
34093		0.851472	-0.044017	-0.520980	-0.040466	-4.138134	-62.969162	-2.906782
34094		0.851469	-0.044101	-0.520976	-0.040488	-4.153274	-62.969113	-2.900542
34095		0.851448	-0.044168	-0.520999	-0.040564	-4.157674	-62.972765	-2.908004
34096		0.851452	-0.044167	-0.520992	-0.040580	-4.155487	-62.971859	-2.911438
34097		0.851470	-0.043998	-0.520984	-0.040474	-4.132909	-62.969689	-2.911092
34098		0.851456	-0.043826	-0.521024	-0.040440	-4.100550	-62.974368	-2.926233
34099		0.851433	-0.043810	-0.521052	-0.040598	-4.076359	-62.978745	-2.962170
34100		0.851426	-0.043634	-0.521078	-0.040586	-4.040085	-62.981570	-2.982709
34101		0.851438	-0.043388	-0.521090	-0.040442	-4.005917	-62.981722	-2.984317
34102		0.851463	-0.043250	-0.521062	-0.040437	-3.977015	-62.977358	-3.001307
34103		0.851488	-0.043158	-0.521030	-0.040410	-3.960757	-62.972705	-3.007712
34104		0.851523	-0.043081	-0.520980	-0.040413	-3.943683	-62.965688	-3.018716
34105		0.851553	-0.043000	-0.520940	-0.040366	-3.932438	-62.959849	-3.019370
34106		0.851578	-0.042930	-0.520907	-0.040357	-3.918398	-62.955039	-3.026901
34107		0.851577	-0.042837	-0.520917	-0.040323	-3.902952	-62.956006	-3.031738
34108		0.851598	-0.042762	-0.520889	-0.040338	-3.884902	-62.951954	-3.044831
34109		0.851600	-0.042842	-0.520868	-0.040465	-3.885314	-62.950090	-3.061665
34110		0.851601	-0.042811	-0.520867	-0.040511	-3.872467	-62.950016	-3.075797
34111		0.851588	-0.042905	-0.520869	-0.040665	-3.872450	-62.951237	-3.096478
34112		0.851603	-0.042901	-0.520840	-0.040726	-3.863607	-62.947617	-3.110221
34113		0.851619	-0.042984	-0.520795	-0.040863	-3.863500	-62.942496	-3.128690
34114		0.851643	-0.042994	-0.520751	-0.040912	-3.859037	-62.936856	-3.138158
34115		0.851661	-0.043043	-0.520710	-0.041001	-3.857853	-62.932035	-3.150941
34116		0.851694	-0.043056	-0.520652	-0.041041	-3.855548	-62.924398	-3.157847
34117		0.851671	-0.043009	-0.520694	-0.041047	-3.844605	-62.929873	-3.165300
34118		0.851673	-0.043020	-0.520688	-0.041070	-3.843781	-62.929315	-3.168924
34119		0.851669	-0.043028	-0.520696	-0.041054	-3.847700	-62.930218	-3.164354
34120		0.851676	-0.043103	-0.520673	-0.041107	-3.856876	-62.927760	-3.165876
34121		0.851635	-0.043088	-0.520746	-0.041045	-3.861874	-62.937246	-3.154370
34122		0.851611	-0.043175	-0.520775	-0.041094	-3.874022	-62.941578	-3.153475
34123		0.851604	-0.043273	-0.520770	-0.041181	-3.883678	-62.941771	-3.159199
34124		0.851552	-0.043323	-0.520846	-0.041248	-3.885673	-62.952399	-3.166807
34125		0.851518	-0.043488	-0.520878	-0.041374	-3.904629	-62.957926	-3.172139
34126		0.851476	-0.043531	-0.520937	-0.041453	-3.903619	-62.966341	-3.183195
34127		0.851431	-0.043726	-0.520977	-0.041679	-3.915842	-62.973466	-3.205970
34128		0.851415	-0.043790	-0.520991	-0.041755	-3.919671	-62.975995	-3.213865
34129		0.851389	-0.043891	-0.521016	-0.041862	-3.927238	-62.980169	-3.223548
34130		0.851370	-0.043945	-0.521038	-0.041917	-3.931618	-62.983592	-3.228210
34131		0.851340	-0.044135	-0.521056	-0.042099	-3.948607	-62.987586	-3.242188
34132		0.851331	-0.044193	-0.521063	-0.042144	-3.955148	-62.989014	-3.244290
34133		0.851299	-0.044293	-0.521098	-0.042244	-3.963479	-62.994520	-3.252567
34134		0.851280	-0.044370	-0.521117	-0.042310	-3.971604	-62.997632	-3.256364
34135		0.851260	-0.044357	-0.521156	-0.042260	-3.975339	-63.002617	-3.247272
34136		0.851261	-0.044400	-0.521147	-0.042291	-3.980477	-63.001731	-3.248325
34137		0.851230	-0.044615	-0.521163	-0.042506	-3.998339	-63.005659	-3.266256
34138		0.851212	-0.044645	-0.521188	-0.042521	-4.002868	-63.009268	-3.265531
34139		0.851156	-0.044895	-0.521239	-0.042764	-4.024703	-63.018132	-3.284684
34140		0.851110	-0.044930	-0.521307	-0.042803	-4.027269	-63.027680	-3.288165
34141		0.851055	-0.045112	-0.521368	-0.042961	-4.045736	-63.037237	-3.297946
34142		0.851009	-0.045159	-0.521438	-0.042979	-4.053499	-63.046997	-3.295392
34143		0.850959	-0.045171	-0.521519	-0.042965	-4.057943	-63.057896	-3.290661
34144		0.850902	-0.045192	-0.521611	-0.042963	-4.062790	-63.070201	-3.287204
34145		0.850845	-0.045216	-0.521703	-0.042940	-4.071040	-63.082596	-3.278866
34146		0.850802	-0.045245	-0.521774	-0.042906	-4.082081	-63.092142	-3.267257
34147		0.850761	-0.045273	-0.521840	-0.042871	-4.092625	-63.100963	-3.255925
34148		0.850737	-0.045317	-0.521880	-0.042833	-4.107247	-63.106252	-3.241781
34149		0.850714	-0.045475	-0.521895	-0.042934	-4.127998	-63.109352	-3.242527
34150		0.850719	-0.045533	-0.521883	-0.042920	-4.142418	-63.107913	-3.231937
34151		0.850711	-0.045846	-0.521844	-0.043226	-4.169486	-63.105360	-3.256509
34152		0.850714	-0.045896	-0.521832	-0.043244	-4.177831	-63.104077	-3.253884
34153		0.850694	-0.046032	-0.521844	-0.043364	-4.191377	-63.106720	-3.261670
34154		0.850690	-0.046058	-0.521845	-0.043387	-4.194024	-63.107120	-3.263110
34155		0.850658	-0.046313	-0.521855	-0.043635	-4.216239	-63.110628	-3.282846
34156		0.850664	-0.046344	-0.521842	-0.043648	-4.221042	-63.109030	-3.281738
34157		0.850642	-0.046407	-0.521869	-0.043665	-4.232578	-63.113093	-3.276858
34158		0.850657	-0.046501	-0.521837	-0.043669	-4.252188	-63.109071	-3.265440
34159		0.850655	-0.046647	-0.521819	-0.043767	-4.270861	-63.107755	-3.267172
34160		0.850657	-0.046693	-0.521812	-0.043751	-4.282931	-63.106961	-3.257638
34161		0.850659	-0.046772	-0.521801	-0.043761	-4.298470	-63.105740	-3.249488
34162		0.850694	-0.046860	-0.521734	-0.043786	-4.314188	-63.097279	-3.243355
34163		0.850751	-0.046682	-0.521679	-0.043535	-4.308715	-63.087855	-3.213158
34164		0.850782	-0.046735	-0.521623	-0.043528	-4.321235	-63.080598	-3.204650
34165		0.850808	-0.046833	-0.521571	-0.043552	-4.339118	-63.074046	-3.197049
34166		0.850846	-0.046879	-0.521506	-0.043532	-4.351360	-63.065446	-3.187081
34167		0.850894	-0.046712	-0.521462	-0.043300	-4.346096	-63.057720	-3.159155
34168		0.851000	-0.046808	-0.521280	-0.043315	-4.364393	-63.033611	-3.150431
34169		0.851021	-0.046900	-0.521234	-0.043338	-4.381082	-63.027977	-3.143425
34170		0.851073	-0.046934	-0.521149	-0.043309	-4.392024	-63.016428	-3.133132
34171		0.851145	-0.046902	-0.521039	-0.043245	-4.393386	-63.001243	-3.124071
34172		0.851233	-0.046877	-0.520900	-0.043213	-4.391886	-62.982319	-3.121071
34173		0.851365	-0.046954	-0.520673	-0.043262	-4.401726	-62.952404	-3.122237
34174		0.851438	-0.046981	-0.520551	-0.043273	-4.405836	-62.936185	-3.121524
34175		0.851484	-0.047010	-0.520470	-0.043308	-4.407208	-62.925518	-3.125635
34176		0.851541	-0.047059	-0.520371	-0.043335	-4.413918	-62.912583	-3.125481
34177		0.851596	-0.046986	-0.520297	-0.043217	-4.413641	-62.901806	-3.110081
34178		0.851621	-0.047029	-0.520250	-0.043246	-4.418980	-62.895714	-3.110826
34179		0.851646	-0.047210	-0.520185	-0.043338	-4.445602	-62.888191	-3.107022
34180		0.851673	-0.047316	-0.520128	-0.043372	-4.463703	-62.881022	-3.100742
34181		0.851636	-0.047396	-0.520182	-0.043367	-4.481775	-62.888641	-3.088871
34182		0.851597	-0.047517	-0.520235	-0.043354	-4.509537	-62.896144	-3.069990
34183		0.851534	-0.047593	-0.520337	-0.043294	-4.533984	-62.909693	-3.046646
34184		0.851451	-0.047725	-0.520460	-0.043307	-4.560999	-62.926719	-3.031520
34185		0.851350	-0.048061	-0.520575	-0.043530	-4.604178	-62.944686	-3.034679
34186		0.851294	-0.048203	-0.520652	-0.043562	-4.630826	-62.955599	-3.022458
34187		0.851247	-0.048248	-0.520727	-0.043517	-4.646550	-62.965676	-3.006559
34188		0.851208	-0.048262	-0.520792	-0.043483	-4.654350	-62.974255	-2.996989
34189		0.851171	-0.048363	-0.520840	-0.043529	-4.670123	-62.981240	-2.993306
34190		0.851151	-0.048392	-0.520873	-0.043492	-4.681431	-62.985543	-2.981287
34191		0.851154	-0.048424	-0.520868	-0.043455	-4.692967	-62.984852	-2.969360
34192		0.851178	-0.048448	-0.520829	-0.043437	-4.700445	-62.979523	-2.962400
34193		0.851225	-0.048694	-0.520711	-0.043647	-4.725563	-62.965763	-2.975659
34194		0.851313	-0.048737	-0.520567	-0.043612	-4.738746	-62.946332	-2.963418
34195		0.851437	-0.048797	-0.520362	-0.043556	-4.758314	-62.918699	-2.944618
34196		0.851572	-0.048823	-0.520143	-0.043503	-4.770122	-62.889123	-2.931069
34197		0.851718	-0.048865	-0.519905	-0.043441	-4.786611	-62.857040	-2.913403
34198		0.851842	-0.048851	-0.519710	-0.043355	-4.794013	-62.830293	-2.898071
34199		0.851952	-0.048908	-0.519527	-0.043333	-4.808588	-62.805747	-2.886826
34200		0.852086	-0.048904	-0.519314	-0.043253	-4.817342	-62.776718	-2.871611
34201		0.852216	-0.048991	-0.519092	-0.043270	-4.832809	-62.747308	-2.865268
34202		0.852356	-0.048963	-0.518872	-0.043166	-4.839750	-62.717202	-2.847772
34203		0.852499	-0.049148	-0.518610	-0.043274	-4.864239	-62.683315	-2.848391
34204		0.852641	-0.049106	-0.518394	-0.043128	-4.873443	-62.653310	-2.823900
34205		0.852755	-0.049265	-0.518183	-0.043220	-4.894506	-62.626067	-2.824246
34206		0.852862	-0.049254	-0.518018	-0.043103	-4.906569	-62.603297	-2.801883
34207		0.852912	-0.049153	-0.517955	-0.042987	-4.899802	-62.593840	-2.790715
34208		0.852942	-0.049162	-0.517909	-0.042941	-4.907641	-62.587380	-2.779848
34209		0.852960	-0.049293	-0.517863	-0.042987	-4.929217	-62.581991	-2.773170
34210		0.852974	-0.049337	-0.517835	-0.042989	-4.938272	-62.578326	-2.767964
34211		0.852958	-0.049537	-0.517833	-0.043108	-4.965531	-62.579406	-2.767456
34212		0.852975	-0.049609	-0.517796	-0.043126	-4.978446	-62.574779	-2.762105
34213		0.852994	-0.049575	-0.517777	-0.043012	-4.985837	-62.571546	-2.742396
34214		0.853025	-0.049636	-0.517719	-0.043021	-4.997436	-62.563965	-2.736740
34215		0.853062	-0.049588	-0.517671	-0.042936	-4.997823	-62.556898	-2.725402
34216		0.853120	-0.049644	-0.517569	-0.042951	-5.007430	-62.543499	-2.721905
34217		0.853179	-0.049829	-0.517442	-0.043086	-5.028745	-62.527841	-2.727552
34218		0.853233	-0.049906	-0.517344	-0.043115	-5.041011	-62.515118	-2.724482
34219		0.853264	-0.049882	-0.517304	-0.043002	-5.050144	-62.509034	-2.703890
34220		0.853303	-0.049982	-0.517229	-0.043019	-5.068789	-62.499428	-2.695207
34221		0.853384	-0.050032	-0.517092	-0.042987	-5.083096	-62.481069	-2.682751
34222		0.853488	-0.050116	-0.516913	-0.042970	-5.102228	-62.457275	-2.669612
34223		0.853548	-0.050132	-0.516821	-0.042894	-5.114792	-62.444423	-2.652199
34224		0.853623	-0.050199	-0.516691	-0.042871	-5.131332	-62.427156	-2.639629
34225		0.853664	-0.050155	-0.516639	-0.042735	-5.139284	-62.419228	-2.616798
34226		0.853730	-0.050179	-0.516531	-0.042698	-5.148580	-62.404610	-2.606615
34227		0.853816	-0.050280	-0.516375	-0.042737	-5.164271	-62.384252	-2.603038
34228		0.853907	-0.050323	-0.516220	-0.042745	-5.171520	-62.363653	-2.600347
34229		0.853929	-0.050511	-0.516151	-0.042926	-5.187782	-62.356113	-2.615113
34230		0.853946	-0.050512	-0.516124	-0.042912	-5.189582	-62.352473	-2.612234
34231		0.853948	-0.050489	-0.516126	-0.042861	-5.191237	-62.352319	-2.604417
34232		0.853972	-0.050472	-0.516090	-0.042837	-5.190543	-62.347368	-2.601786
34233		0.853967	-0.050433	-0.516108	-0.042766	-5.191577	-62.349222	-2.591553
34234		0.853948	-0.050404	-0.516146	-0.042729	-5.190336	-62.354019	-2.587190
