// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B414FE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
35519		0.561424	0.425460	-0.463130	0.537863	-5.595411	-77.878292	92.066831
35520		0.561418	0.425438	-0.463189	0.537837	-5.615996	-77.882044	92.081697
35521		0.561390	0.425469	-0.463192	0.537839	-5.615969	-77.885429	92.084945
35522		0.561351	0.425519	-0.463163	0.537865	-5.608339	-77.887525	92.085625
35523		0.561246	0.425616	-0.463129	0.537927	-5.611522	-77.893380	92.106013
35524		0.561098	0.425722	-0.463030	0.538082	-5.623752	-77.893105	92.147585
35525		0.560967	0.425843	-0.462967	0.538179	-5.625220	-77.898190	92.172763
35526		0.560833	0.425970	-0.462917	0.538260	-5.626597	-77.905569	92.196764
35527		0.560792	0.426011	-0.462946	0.538245	-5.631472	-77.912723	92.203861
35528		0.560793	0.426007	-0.462961	0.538235	-5.635474	-77.913853	92.206104
35529		0.560782	0.426009	-0.462985	0.538223	-5.642497	-77.916582	92.211824
35530		0.560664	0.426068	-0.462956	0.538325	-5.670087	-77.918693	92.257150
35531		0.560566	0.426115	-0.462939	0.538403	-5.694716	-77.921077	92.295643
35532		0.560432	0.426187	-0.462927	0.538498	-5.726825	-77.926250	92.345872
35533		0.560315	0.426248	-0.462924	0.538573	-5.756520	-77.931438	92.390284
35534		0.560172	0.426316	-0.462911	0.538679	-5.794338	-77.936104	92.447138
35535		0.560111	0.426335	-0.462953	0.538692	-5.821279	-77.941856	92.477014
35536		0.560089	0.426291	-0.463022	0.538691	-5.861358	-77.944085	92.511810
35537		0.560074	0.426247	-0.463122	0.538655	-5.901581	-77.949721	92.542581
35538		0.560036	0.426205	-0.463226	0.538638	-5.952940	-77.955709	92.586684
35539		0.559991	0.426180	-0.463311	0.538631	-5.997860	-77.961518	92.627439
35540		0.559919	0.426182	-0.463345	0.538675	-6.036869	-77.964585	92.671326
35541		0.559848	0.426180	-0.463395	0.538707	-6.079489	-77.968902	92.716894
35542		0.559763	0.426201	-0.463433	0.538746	-6.117395	-77.974247	92.761003
35543		0.559706	0.426228	-0.463391	0.538820	-6.127551	-77.972138	92.782720
35544		0.559608	0.426306	-0.463287	0.538951	-6.127209	-77.968543	92.806039
35545		0.559582	0.426313	-0.463240	0.539012	-6.130887	-77.964120	92.817829
35546		0.559535	0.426312	-0.463240	0.539061	-6.154425	-77.963523	92.846898
35547		0.559500	0.426288	-0.463304	0.539062	-6.191180	-77.967174	92.880632
35548		0.559466	0.426244	-0.463376	0.539069	-6.237274	-77.969650	92.922395
35549		0.559460	0.426147	-0.463446	0.539093	-6.293932	-77.966047	92.971142
35550		0.559422	0.426060	-0.463479	0.539172	-6.356770	-77.959574	93.033814
35551		0.559389	0.425987	-0.463525	0.539225	-6.412229	-77.955886	93.087255
35552		0.559389	0.425887	-0.463582	0.539254	-6.464920	-77.950888	93.132642
35553		0.559340	0.425840	-0.463589	0.539337	-6.511459	-77.945715	93.183583
35554		0.559326	0.425790	-0.463609	0.539374	-6.543660	-77.942062	93.214673
35555		0.559297	0.425765	-0.463609	0.539423	-6.568945	-77.939044	93.243042
35556		0.559212	0.425742	-0.463593	0.539543	-6.619407	-77.933646	93.304911
35557		0.559191	0.425706	-0.463625	0.539566	-6.650387	-77.932768	93.334547
35558		0.559136	0.425636	-0.463662	0.539647	-6.713692	-77.928191	93.399498
35559		0.559073	0.425583	-0.463711	0.539711	-6.775542	-77.926712	93.462787
35560		0.558957	0.425565	-0.463736	0.539825	-6.844032	-77.925845	93.542057
35561		0.558925	0.425510	-0.463783	0.539861	-6.891007	-77.924188	93.587093
35562		0.558883	0.425482	-0.463777	0.539932	-6.923313	-77.919902	93.624629
35563		0.558842	0.425465	-0.463766	0.539997	-6.949826	-77.916338	93.656841
35564		0.558783	0.425458	-0.463777	0.540054	-6.983338	-77.915989	93.696019
35565		0.558753	0.425412	-0.463851	0.540057	-7.028495	-77.918340	93.736180
35566		0.558711	0.425368	-0.463908	0.540086	-7.076770	-77.918858	93.782731
35567		0.558699	0.425336	-0.463942	0.540095	-7.101956	-77.918667	93.805277
35568		0.558656	0.425337	-0.463947	0.540134	-7.122870	-77.918815	93.830698
35569		0.558624	0.425326	-0.463963	0.540163	-7.146274	-77.918807	93.856054
35570		0.558563	0.425315	-0.463975	0.540224	-7.182826	-77.918009	93.898331
35571		0.558550	0.425285	-0.464034	0.540211	-7.210726	-77.920642	93.921149
35572		0.558529	0.425260	-0.464070	0.540220	-7.237009	-77.921439	93.945627
35573		0.558564	0.425200	-0.464147	0.540165	-7.256932	-77.923264	93.952501
35574		0.558523	0.425212	-0.464199	0.540154	-7.279256	-77.929597	93.974272
35575		0.558542	0.425135	-0.464273	0.540131	-7.314490	-77.928972	93.998385
35576		0.558580	0.425062	-0.464364	0.540071	-7.341057	-77.930929	94.009815
35577		0.558571	0.425056	-0.464408	0.540047	-7.354373	-77.934782	94.019343
35578		0.558528	0.425138	-0.464348	0.540079	-7.331047	-77.937035	94.008589
35579		0.558575	0.425154	-0.464331	0.540031	-7.297780	-77.937832	93.971723
35580		0.558599	0.425196	-0.464305	0.539996	-7.263700	-77.940028	93.938191
35581		0.558659	0.425207	-0.464305	0.539927	-7.229774	-77.942031	93.897453
35582		0.558627	0.425294	-0.464215	0.539969	-7.194351	-77.941836	93.876495
35583		0.558628	0.425373	-0.464146	0.539964	-7.148600	-77.943469	93.838927
35584		0.558561	0.425473	-0.464076	0.540015	-7.127581	-77.946470	93.834542
35585		0.558542	0.425530	-0.464020	0.540038	-7.103631	-77.946583	93.819485
35586		0.558557	0.425564	-0.463985	0.540025	-7.075768	-77.946962	93.794015
35587		0.558568	0.425587	-0.463966	0.540013	-7.058051	-77.947607	93.777387
35588		0.558606	0.425581	-0.463960	0.539982	-7.040574	-77.946936	93.755931
35589		0.558652	0.425607	-0.463917	0.539952	-7.000822	-77.945804	93.715720
35590		0.558606	0.425721	-0.463780	0.540028	-6.953591	-77.943444	93.690076
35591		0.558640	0.425770	-0.463721	0.540003	-6.906292	-77.943227	93.645609
35592		0.558610	0.425876	-0.463599	0.540056	-6.857333	-77.941733	93.614537
35593		0.558587	0.425970	-0.463521	0.540073	-6.815598	-77.943724	93.584983
35594		0.558550	0.426068	-0.463444	0.540100	-6.779085	-77.946108	93.562299
35595		0.558552	0.426147	-0.463369	0.540100	-6.732685	-77.946966	93.524710
35596		0.558610	0.426148	-0.463328	0.540074	-6.697786	-77.943552	93.487269
35597		0.558625	0.426214	-0.463215	0.540102	-6.644890	-77.939223	93.445471
35598		0.558612	0.426318	-0.463091	0.540141	-6.588190	-77.937420	93.404901
35599		0.558611	0.426406	-0.463008	0.540144	-6.537385	-77.938478	93.364206
35600		0.558551	0.426537	-0.462916	0.540182	-6.495716	-77.942598	93.341066
35601		0.558532	0.426613	-0.462878	0.540173	-6.465433	-77.946917	93.317925
35602		0.558493	0.426698	-0.462803	0.540211	-6.436923	-77.947913	93.303080
35603		0.558453	0.426715	-0.462783	0.540256	-6.445794	-77.947216	93.319046
35604		0.558387	0.426758	-0.462710	0.540353	-6.449288	-77.943539	93.338533
35605		0.558345	0.426802	-0.462664	0.540400	-6.443496	-77.943071	93.343045
35606		0.558332	0.426806	-0.462597	0.540469	-6.439492	-77.936175	93.347851
35607		0.558338	0.426765	-0.462560	0.540527	-6.449982	-77.927770	93.361073
35608		0.558352	0.426694	-0.462562	0.540566	-6.475124	-77.920305	93.383377
35609		0.558342	0.426615	-0.462603	0.540604	-6.521341	-77.915645	93.425536
35610		0.558296	0.426549	-0.462615	0.540692	-6.574538	-77.909122	93.481879
35611		0.558284	0.426455	-0.462679	0.540724	-6.631520	-77.905147	93.532285
35612		0.558253	0.426322	-0.462756	0.540795	-6.716780	-77.898124	93.611332
35613		0.558189	0.426251	-0.462805	0.540876	-6.786824	-77.894450	93.682777
35614		0.558073	0.426251	-0.462756	0.541038	-6.836880	-77.887837	93.751716
35615		0.558031	0.426173	-0.462787	0.541116	-6.896439	-77.881831	93.811831
35616		0.558039	0.426042	-0.462835	0.541170	-6.957563	-77.872291	93.865246
35617		0.557984	0.425996	-0.462824	0.541272	-7.003116	-77.865298	93.917780
35618		0.557963	0.425926	-0.462836	0.541338	-7.045729	-77.858478	93.960691
35619		0.557919	0.425882	-0.462810	0.541442	-7.083447	-77.850085	94.005920
35620		0.557910	0.425776	-0.462845	0.541503	-7.139181	-77.841881	94.057562
35621		0.557880	0.425690	-0.462881	0.541570	-7.196409	-77.835596	94.113351
35622		0.557822	0.425647	-0.462897	0.541651	-7.245876	-77.831630	94.167426
35623		0.557802	0.425583	-0.462930	0.541694	-7.288508	-77.827526	94.207997
35624		0.557741	0.425571	-0.462935	0.541761	-7.323805	-77.826016	94.249711
35625		0.557729	0.425539	-0.462969	0.541770	-7.348861	-77.825770	94.272157
35626		0.557686	0.425531	-0.462964	0.541824	-7.372265	-77.823800	94.301027
35627		0.557650	0.425513	-0.462983	0.541860	-7.400663	-77.823234	94.331416
35628		0.557630	0.425526	-0.462980	0.541872	-7.404232	-77.824194	94.337752
35629		0.557599	0.425527	-0.462943	0.541935	-7.413352	-77.819907	94.354446
35630		0.557613	0.425513	-0.462931	0.541942	-7.411073	-77.817321	94.351670
35631		0.557603	0.425513	-0.462931	0.541953	-7.415869	-77.817139	94.357672
35632		0.557586	0.425526	-0.462919	0.541971	-7.416962	-77.817023	94.362220
35633		0.557601	0.425486	-0.462971	0.541941	-7.434294	-77.818293	94.371726
35634		0.557608	0.425470	-0.463018	0.541907	-7.444996	-77.821481	94.376419
35635		0.557597	0.425450	-0.463103	0.541861	-7.471159	-77.828104	94.394453
35636		0.557602	0.425462	-0.463143	0.541812	-7.469394	-77.833695	94.387990
35637		0.557594	0.425453	-0.463163	0.541810	-7.479963	-77.834684	94.397243
35638		0.557570	0.425469	-0.463178	0.541810	-7.486991	-77.837759	94.405799
35639		0.557556	0.425463	-0.463186	0.541822	-7.497546	-77.837781	94.416955
35640		0.557499	0.425480	-0.463175	0.541877	-7.516108	-77.837640	94.443564
35641		0.557519	0.425442	-0.463182	0.541880	-7.523603	-77.834444	94.447526
35642		0.557540	0.425384	-0.463219	0.541872	-7.544090	-77.832121	94.460847
35643		0.557584	0.425311	-0.463309	0.541807	-7.567589	-77.833916	94.468716
35644		0.557604	0.425242	-0.463396	0.541767	-7.601093	-77.835560	94.489698
35645		0.557611	0.425211	-0.463492	0.541702	-7.624688	-77.842231	94.501874
35646		0.557557	0.425215	-0.463518	0.541732	-7.653252	-77.844751	94.534034
35647		0.557506	0.425232	-0.463519	0.541769	-7.670592	-77.846058	94.557348
35648		0.557470	0.425266	-0.463508	0.541790	-7.672051	-77.848160	94.564731
35649		0.557449	0.425266	-0.463535	0.541788	-7.686077	-77.850752	94.578216
35650		0.557416	0.425279	-0.463539	0.541810	-7.697205	-77.852100	94.593090
35651		0.557439	0.425206	-0.463591	0.541797	-7.725000	-77.849769	94.611626
35652		0.557440	0.425167	-0.463605	0.541815	-7.743706	-77.846810	94.628213
35653		0.557485	0.425109	-0.463672	0.541757	-7.756394	-77.847931	94.627798
35654		0.557454	0.425079	-0.463715	0.541777	-7.791270	-77.848557	94.661433
35655		0.557469	0.425057	-0.463762	0.541737	-7.799942	-77.851273	94.662977
35656		0.557497	0.425012	-0.463802	0.541710	-7.811902	-77.850795	94.666800
35657		0.557486	0.424995	-0.463813	0.541725	-7.826174	-77.849845	94.680999
35658		0.557466	0.425012	-0.463776	0.541763	-7.823015	-77.847676	94.684258
35659		0.557464	0.425022	-0.463734	0.541794	-7.813500	-77.844254	94.679636
35660		0.557491	0.425006	-0.463696	0.541812	-7.801964	-77.838807	94.668845
35661		0.557513	0.425001	-0.463662	0.541822	-7.788408	-77.834999	94.656196
35662		0.557540	0.425011	-0.463597	0.541841	-7.761485	-77.829762	94.633198
35663		0.557574	0.424999	-0.463568	0.541841	-7.745931	-77.825757	94.616561
35664		0.557582	0.425040	-0.463485	0.541873	-7.712496	-77.821674	94.591694
35665		0.557600	0.425070	-0.463411	0.541892	-7.679401	-77.817699	94.564629
35666		0.557611	0.425100	-0.463315	0.541940	-7.647378	-77.811085	94.542072
35667		0.557638	0.425117	-0.463249	0.541956	-7.617367	-77.806401	94.516104
35668		0.557672	0.425158	-0.463180	0.541948	-7.573149	-77.804205	94.475876
35669		0.557703	0.425156	-0.463148	0.541943	-7.554004	-77.801144	94.456336
35670		0.557736	0.425146	-0.463096	0.541963	-7.534905	-77.794936	94.438896
35671		0.557791	0.425154	-0.463030	0.541956	-7.495226	-77.789642	94.399887
35672		0.557824	0.425178	-0.462957	0.541966	-7.458564	-77.785088	94.367447
35673		0.557843	0.425207	-0.462872	0.541996	-7.424322	-77.779662	94.340469
35674		0.557918	0.425189	-0.462846	0.541955	-7.391905	-77.775911	94.301779
35675		0.557938	0.425237	-0.462761	0.541970	-7.349652	-77.772642	94.266857
35676		0.557934	0.425290	-0.462667	0.542013	-7.315212	-77.768629	94.243615
35677		0.557980	0.425314	-0.462612	0.541994	-7.274698	-77.766127	94.203918
35678		0.557989	0.425306	-0.462578	0.542019	-7.268597	-77.761796	94.200221
35679		0.558026	0.425302	-0.462564	0.541996	-7.250273	-77.760383	94.178974
35680		0.558073	0.425246	-0.462592	0.541968	-7.256427	-77.757643	94.175949
35681		0.558089	0.425203	-0.462608	0.541972	-7.269678	-77.754649	94.185072
35682		0.558201	0.425124	-0.462633	0.541897	-7.253457	-77.749979	94.152124
35683		0.558208	0.425139	-0.462605	0.541902	-7.239834	-77.748705	94.140863
35684		0.558239	0.425128	-0.462602	0.541881	-7.229126	-77.747617	94.126626
35685		0.558277	0.425141	-0.462577	0.541853	-7.201423	-77.746942	94.097288
35686		0.558242	0.425200	-0.462478	0.541927	-7.178594	-77.742698	94.089895
35687		0.558258	0.425260	-0.462410	0.541921	-7.134800	-77.742477	94.052276
35688		0.558255	0.425313	-0.462350	0.541934	-7.104987	-77.742063	94.029908
35689		0.558226	0.425368	-0.462315	0.541951	-7.089980	-77.744248	94.022697
35690		0.558163	0.425449	-0.462267	0.541993	-7.078312	-77.747463	94.024552
35691		0.558123	0.425486	-0.462260	0.542012	-7.080395	-77.750284	94.032603
35692		0.558061	0.425561	-0.462219	0.542051	-7.071798	-77.753566	94.036547
35693		0.558053	0.425594	-0.462184	0.542064	-7.056502	-77.753431	94.026297
35694		0.557978	0.425668	-0.462136	0.542123	-7.053626	-77.755753	94.038221
35695		0.557933	0.425724	-0.462106	0.542151	-7.046337	-77.758346	94.040119
35696		0.557884	0.425818	-0.462014	0.542207	-7.016316	-77.758455	94.026835
35697		0.557807	0.425918	-0.461938	0.542271	-6.998671	-77.760749	94.027497
35698		0.557716	0.426033	-0.461836	0.542361	-6.978015	-77.761810	94.029788
35699		0.557688	0.426085	-0.461771	0.542405	-6.959774	-77.760433	94.022430
35700		0.557666	0.426134	-0.461732	0.542422	-6.943481	-77.761463	94.013412
35701		0.557634	0.426182	-0.461700	0.542445	-6.933541	-77.763139	94.011285
35702		0.557646	0.426181	-0.461669	0.542459	-6.923576	-77.759928	94.003201
35703		0.557595	0.426241	-0.461627	0.542500	-6.916356	-77.761547	94.007093
35704		0.557507	0.426323	-0.461574	0.542572	-6.915272	-77.764014	94.023058
35705		0.557439	0.426389	-0.461585	0.542581	-6.920969	-77.771727	94.036334
35706		0.557371	0.426467	-0.461552	0.542617	-6.914584	-77.776168	94.042426
35707		0.557295	0.426587	-0.461489	0.542655	-6.890186	-77.782026	94.035184
35708		0.557235	0.426698	-0.461450	0.542662	-6.864891	-77.789553	94.022396
35709		0.557187	0.426767	-0.461435	0.542670	-6.855861	-77.795213	94.021403
35710		0.557069	0.426928	-0.461377	0.542714	-6.833803	-77.805636	94.021349
35711		0.556992	0.427050	-0.461332	0.542735	-6.811309	-77.813617	94.014171
35712		0.556880	0.427192	-0.461276	0.542786	-6.795384	-77.822242	94.019062
35713		0.556816	0.427299	-0.461274	0.542768	-6.778414	-77.833332	94.011040
35714		0.556722	0.427402	-0.461291	0.542769	-6.781161	-77.845556	94.024270
35715		0.556690	0.427466	-0.461335	0.542714	-6.774494	-77.856948	94.017428
35716		0.556534	0.427615	-0.461321	0.542769	-6.782792	-77.870197	94.047395
35717		0.556461	0.427697	-0.461378	0.542730	-6.790012	-77.884533	94.057973
35718		0.556352	0.427793	-0.461416	0.542734	-6.806083	-77.897908	94.083955
35719		0.556279	0.427856	-0.461473	0.542711	-6.821579	-77.910086	94.102746
35720		0.556187	0.427950	-0.461483	0.542723	-6.826451	-77.920575	94.118395
35721		0.556152	0.428006	-0.461518	0.542685	-6.823645	-77.930049	94.116660
35722		0.556092	0.428075	-0.461523	0.542687	-6.822968	-77.937616	94.123278
35723		0.556073	0.428113	-0.461564	0.542643	-6.821829	-77.945940	94.120531
35724		0.555990	0.428224	-0.461554	0.542649	-6.811580	-77.956275	94.122466
35725		0.555928	0.428303	-0.461565	0.542640	-6.807892	-77.965674	94.125759
35726		0.555899	0.428353	-0.461557	0.542638	-6.799172	-77.970003	94.121937
35727		0.555891	0.428361	-0.461572	0.542626	-6.800923	-77.972421	94.123096
35728		0.555875	0.428375	-0.461575	0.542628	-6.802997	-77.974159	94.126838
35729		0.555865	0.428395	-0.461587	0.542613	-6.800986	-77.977527	94.124922
35730		0.555845	0.428388	-0.461605	0.542624	-6.816753	-77.978315	94.141123
35731		0.555859	0.428372	-0.461607	0.542620	-6.816845	-77.977000	94.139100
35732		0.555873	0.428377	-0.461604	0.542604	-6.807370	-77.977372	94.128362
35733		0.555895	0.428373	-0.461582	0.542604	-6.795235	-77.974917	94.115951
35734		0.555939	0.428366	-0.461527	0.542611	-6.768904	-77.968882	94.090296
35735		0.555965	0.428367	-0.461478	0.542626	-6.749066	-77.964079	94.072640
35736		0.555970	0.428403	-0.461404	0.542655	-6.719931	-77.960410	94.051229
35737		0.556004	0.428413	-0.461319	0.542685	-6.686649	-77.953038	94.023201
35738		0.556011	0.428465	-0.461193	0.542744	-6.642730	-77.945635	93.992496
35739		0.556057	0.428486	-0.461114	0.542747	-6.599188	-77.940204	93.952283
35740		0.556078	0.428522	-0.460981	0.542809	-6.553897	-77.930614	93.919000
35741		0.556165	0.428508	-0.460893	0.542806	-6.505448	-77.920774	93.869674
35742		0.556242	0.428519	-0.460821	0.542780	-6.453047	-77.915321	93.816077
35743		0.556327	0.428491	-0.460774	0.542755	-6.417392	-77.908290	93.775170
35744		0.556386	0.428472	-0.460727	0.542749	-6.389920	-77.901848	93.745604
35745		0.556484	0.428456	-0.460685	0.542698	-6.344011	-77.896745	93.692518
35746		0.556529	0.428514	-0.460575	0.542698	-6.280207	-77.892256	93.635784
35747		0.556627	0.428537	-0.460467	0.542672	-6.207309	-77.884530	93.563307
35748		0.556679	0.428590	-0.460324	0.542698	-6.138365	-77.875915	93.504123
35749		0.556781	0.428638	-0.460213	0.542649	-6.052245	-77.870765	93.418491
35750		0.556848	0.428702	-0.460073	0.542649	-5.971854	-77.863781	93.345982
35751		0.556977	0.428742	-0.459968	0.542574	-5.876676	-77.858635	93.247304
35752		0.557068	0.428809	-0.459828	0.542546	-5.783307	-77.852320	93.159034
35753		0.557173	0.428840	-0.459765	0.542467	-5.709218	-77.850160	93.079758
35754		0.557261	0.428884	-0.459714	0.542386	-5.640039	-77.850552	93.006301
35755		0.557335	0.428936	-0.459666	0.542308	-5.573685	-77.852085	92.936974
35756		0.557395	0.428983	-0.459643	0.542230	-5.520519	-77.855356	92.879895
35757		0.557483	0.429001	-0.459625	0.542140	-5.466576	-77.856441	92.817770
35758		0.557524	0.429075	-0.459545	0.542107	-5.402317	-77.856564	92.758109
35759		0.557592	0.429134	-0.459522	0.542010	-5.339454	-77.861343	92.690505
35760		0.557611	0.429231	-0.459435	0.541988	-5.274845	-77.862868	92.634176
35761		0.557670	0.429300	-0.459368	0.541929	-5.205518	-77.864024	92.565802
35762		0.557744	0.429355	-0.459312	0.541857	-5.137253	-77.864802	92.495594
35763		0.557802	0.429407	-0.459262	0.541797	-5.078007	-77.865956	92.435384
35764		0.557836	0.429487	-0.459196	0.541755	-5.016298	-77.868057	92.377713
35765		0.557873	0.429506	-0.459219	0.541683	-4.992785	-77.872833	92.347706
35766		0.557873	0.429574	-0.459217	0.541631	-4.960892	-77.880055	92.316813
35767		0.557930	0.429552	-0.459251	0.541560	-4.946914	-77.881824	92.292290
35768		0.557999	0.429500	-0.459330	0.541463	-4.947178	-77.885103	92.275448
35769		0.558070	0.429466	-0.459413	0.541347	-4.938762	-77.890708	92.249496
35770		0.558122	0.429427	-0.459484	0.541264	-4.939854	-77.894483	92.236525
