// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4151A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
35519		0.848706	-0.044134	-0.525756	-0.036482	-4.713913	-63.591414	-1.999510
35520		0.848731	-0.044087	-0.525722	-0.036441	-4.708960	-63.586444	-1.997213
35521		0.848757	-0.044128	-0.525672	-0.036513	-4.707962	-63.580250	-2.007636
35522		0.848780	-0.044074	-0.525641	-0.036485	-4.699845	-63.575756	-2.009016
35523		0.848755	-0.044051	-0.525684	-0.036479	-4.695979	-63.581507	-2.010415
35524		0.848786	-0.043964	-0.525644	-0.036446	-4.680951	-63.575708	-2.015513
35525		0.848837	-0.043861	-0.525575	-0.036380	-4.666941	-63.565778	-2.015611
35526		0.848863	-0.043800	-0.525538	-0.036379	-4.653559	-63.560617	-2.023906
35527		0.848844	-0.043760	-0.525567	-0.036442	-4.636362	-63.564791	-2.042844
35528		0.848822	-0.043692	-0.525607	-0.036445	-4.621373	-63.570085	-2.052475
35529		0.848765	-0.043646	-0.525703	-0.036473	-4.608016	-63.582943	-2.064034
35530		0.848709	-0.043601	-0.525795	-0.036479	-4.597959	-63.595379	-2.070725
35531		0.848638	-0.043533	-0.525916	-0.036464	-4.585476	-63.611436	-2.076029
35532		0.848585	-0.043489	-0.526008	-0.036441	-4.579488	-63.623547	-2.076315
35533		0.848546	-0.043433	-0.526075	-0.036458	-4.565282	-63.632491	-2.087111
35534		0.848519	-0.043401	-0.526123	-0.036437	-4.561268	-63.638765	-2.086630
35535		0.848504	-0.043390	-0.526146	-0.036452	-4.557175	-63.642002	-2.091022
35536		0.848491	-0.043321	-0.526173	-0.036430	-4.545085	-63.645388	-2.095559
35537		0.848478	-0.043314	-0.526194	-0.036459	-4.539646	-63.648309	-2.102721
35538		0.848456	-0.043258	-0.526236	-0.036442	-4.529981	-63.653669	-2.106211
35539		0.848414	-0.043222	-0.526306	-0.036428	-4.524374	-63.663007	-2.107577
35540		0.848370	-0.043183	-0.526383	-0.036396	-4.520411	-63.673059	-2.105471
35541		0.848313	-0.043098	-0.526483	-0.036361	-4.506922	-63.686256	-2.108735
35542		0.848257	-0.043059	-0.526579	-0.036330	-4.503110	-63.698908	-2.106538
35543		0.848188	-0.043000	-0.526698	-0.036287	-4.496798	-63.714569	-2.104165
35544		0.848132	-0.042982	-0.526790	-0.036285	-4.493389	-63.726875	-2.105717
35545		0.848078	-0.043013	-0.526872	-0.036321	-4.495926	-63.738202	-2.108638
35546		0.848018	-0.043036	-0.526964	-0.036364	-4.495448	-63.750960	-2.114425
35547		0.847951	-0.043003	-0.527078	-0.036322	-4.494583	-63.765953	-2.108869
35548		0.847883	-0.043040	-0.527183	-0.036340	-4.500647	-63.780364	-2.107153
35549		0.847825	-0.043027	-0.527278	-0.036322	-4.500877	-63.792998	-2.104203
35550		0.847748	-0.043037	-0.527401	-0.036338	-4.501373	-63.809682	-2.105609
35551		0.847647	-0.043068	-0.527559	-0.036338	-4.509144	-63.831193	-2.100181
35552		0.847562	-0.043091	-0.527695	-0.036329	-4.516221	-63.849526	-2.094050
35553		0.847478	-0.043063	-0.527838	-0.036251	-4.521428	-63.868288	-2.079735
35554		0.847404	-0.043094	-0.527954	-0.036239	-4.530610	-63.883977	-2.071940
35555		0.847345	-0.043172	-0.528041	-0.036283	-4.542135	-63.896092	-2.070411
35556		0.847281	-0.043204	-0.528140	-0.036281	-4.550211	-63.909615	-2.064673
35557		0.847221	-0.043273	-0.528227	-0.036337	-4.558209	-63.921717	-2.066927
35558		0.847170	-0.043334	-0.528303	-0.036361	-4.568765	-63.932260	-2.063299
35559		0.847151	-0.043356	-0.528331	-0.036368	-4.572901	-63.936188	-2.061485
35560		0.847128	-0.043401	-0.528362	-0.036391	-4.579664	-63.940587	-2.060343
35561		0.847095	-0.043459	-0.528406	-0.036452	-4.584602	-63.947045	-2.065224
35562		0.847036	-0.043483	-0.528497	-0.036466	-4.588316	-63.959464	-2.064490
35563		0.846986	-0.043535	-0.528571	-0.036503	-4.595185	-63.969739	-2.064851
35564		0.846973	-0.043612	-0.528582	-0.036544	-4.606620	-63.971710	-2.063308
35565		0.846923	-0.043567	-0.528669	-0.036501	-4.603024	-63.983065	-2.059372
35566		0.846848	-0.043549	-0.528790	-0.036515	-4.597848	-63.999406	-2.063957
35567		0.846770	-0.043663	-0.528902	-0.036567	-4.616591	-64.015163	-2.058910
35568		0.846691	-0.043767	-0.529016	-0.036608	-4.634634	-64.031018	-2.052743
35569		0.846593	-0.043850	-0.529163	-0.036653	-4.647680	-64.051288	-2.050063
35570		0.846532	-0.043961	-0.529248	-0.036705	-4.665663	-64.063367	-2.045531
35571		0.846437	-0.044032	-0.529392	-0.036743	-4.676919	-64.083236	-2.043021
35572		0.846337	-0.044055	-0.529548	-0.036763	-4.680213	-64.104448	-2.043079
35573		0.846262	-0.044143	-0.529658	-0.036817	-4.692994	-64.119770	-2.041829
35574		0.846184	-0.044152	-0.529780	-0.036833	-4.693650	-64.136416	-2.043092
35575		0.846121	-0.044156	-0.529880	-0.036843	-4.693488	-64.149935	-2.044181
35576		0.846070	-0.044168	-0.529959	-0.036864	-4.693822	-64.160805	-2.046463
35577		0.846027	-0.044198	-0.530023	-0.036900	-4.695878	-64.169673	-2.049819
35578		0.845997	-0.044191	-0.530071	-0.036900	-4.694494	-64.176133	-2.050557
35579		0.845967	-0.044141	-0.530125	-0.036860	-4.689272	-64.183158	-2.048211
35580		0.845948	-0.044095	-0.530160	-0.036865	-4.678619	-64.187770	-2.055344
35581		0.845906	-0.044065	-0.530229	-0.036857	-4.673471	-64.197073	-2.057211
35582		0.845886	-0.044059	-0.530261	-0.036867	-4.670917	-64.201376	-2.060066
35583		0.845863	-0.043983	-0.530308	-0.036803	-4.662905	-64.207164	-2.056291
35584		0.845831	-0.043980	-0.530360	-0.036795	-4.663742	-64.214170	-2.054486
35585		0.845806	-0.043976	-0.530402	-0.036762	-4.667621	-64.219684	-2.047427
35586		0.845769	-0.043965	-0.530464	-0.036743	-4.668390	-64.227861	-2.044056
35587		0.845717	-0.044057	-0.530535	-0.036805	-4.680688	-64.238024	-2.044474
35588		0.845680	-0.044050	-0.530598	-0.036767	-4.684685	-64.246310	-2.036552
35589		0.845656	-0.044103	-0.530627	-0.036824	-4.688777	-64.250737	-2.041630
35590		0.845654	-0.044139	-0.530627	-0.036807	-4.699377	-64.250790	-2.032566
35591		0.845666	-0.044133	-0.530613	-0.036753	-4.705464	-64.248479	-2.021552
35592		0.845692	-0.044141	-0.530573	-0.036732	-4.709872	-64.243032	-2.016055
35593		0.845693	-0.044081	-0.530580	-0.036671	-4.705142	-64.243469	-2.010725
35594		0.845680	-0.044024	-0.530608	-0.036628	-4.698402	-64.246918	-2.009105
35595		0.845701	-0.044150	-0.530560	-0.036707	-4.715199	-64.241081	-2.009495
35596		0.845738	-0.044191	-0.530500	-0.036675	-4.728472	-64.232880	-1.997069
35597		0.845739	-0.044129	-0.530509	-0.036569	-4.729559	-64.233466	-1.981891
35598		0.845781	-0.044143	-0.530446	-0.036505	-4.741217	-64.224615	-1.966242
35599		0.845800	-0.044177	-0.530414	-0.036488	-4.751093	-64.220263	-1.957912
35600		0.845825	-0.044196	-0.530376	-0.036446	-4.760968	-64.214877	-1.946124
35601		0.845835	-0.044270	-0.530355	-0.036435	-4.778770	-64.212145	-1.933606
35602		0.845852	-0.044308	-0.530327	-0.036383	-4.794379	-64.208241	-1.916954
35603		0.845870	-0.044350	-0.530299	-0.036337	-4.810028	-64.204201	-1.900983
35604		0.845871	-0.044370	-0.530299	-0.036296	-4.820293	-64.203993	-1.888929
35605		0.845864	-0.044409	-0.530307	-0.036275	-4.832110	-64.205136	-1.878638
35606		0.845872	-0.044450	-0.530293	-0.036248	-4.844730	-64.203127	-1.867178
35607		0.845871	-0.044433	-0.530302	-0.036158	-4.853671	-64.203765	-1.849357
35608		0.845875	-0.044480	-0.530294	-0.036133	-4.867537	-64.202736	-1.837336
35609		0.845866	-0.044543	-0.530303	-0.036126	-4.882697	-64.203964	-1.826812
35610		0.845860	-0.044609	-0.530308	-0.036121	-4.898112	-64.204751	-1.816443
35611		0.845859	-0.044696	-0.530303	-0.036119	-4.917871	-64.204244	-1.803795
35612		0.845867	-0.044742	-0.530287	-0.036108	-4.929532	-64.202084	-1.795115
35613		0.845851	-0.044808	-0.530306	-0.036105	-4.944921	-64.204899	-1.784904
35614		0.845847	-0.044884	-0.530305	-0.036122	-4.959416	-64.204952	-1.778096
35615		0.845829	-0.044891	-0.530338	-0.036051	-4.970989	-64.209035	-1.761189
35616		0.845809	-0.044956	-0.530364	-0.036076	-4.982428	-64.212749	-1.757185
35617		0.845784	-0.045054	-0.530391	-0.036125	-4.997527	-64.217006	-1.754219
35618		0.845756	-0.045116	-0.530430	-0.036129	-5.011157	-64.222426	-1.746073
35619		0.845728	-0.045190	-0.530468	-0.036139	-5.026420	-64.227759	-1.737727
35620		0.845683	-0.045276	-0.530533	-0.036141	-5.046073	-64.236656	-1.725304
35621		0.845647	-0.045458	-0.530567	-0.036251	-5.071613	-64.242314	-1.723941
35622		0.845602	-0.045516	-0.530631	-0.036278	-5.081270	-64.251248	-1.721346
35623		0.845555	-0.045548	-0.530704	-0.036253	-5.092403	-64.261118	-1.710596
35624		0.845506	-0.045581	-0.530778	-0.036275	-5.097486	-64.271311	-1.709944
35625		0.845448	-0.045602	-0.530870	-0.036268	-5.103826	-64.283758	-1.704643
35626		0.845384	-0.045633	-0.530968	-0.036284	-5.109125	-64.297123	-1.703019
35627		0.845311	-0.045711	-0.531076	-0.036315	-5.123185	-64.312068	-1.697832
35628		0.845249	-0.045750	-0.531172	-0.036300	-5.134994	-64.325036	-1.687866
35629		0.845186	-0.045795	-0.531269	-0.036290	-5.146995	-64.338140	-1.678609
35630		0.845122	-0.045822	-0.531370	-0.036272	-5.156535	-64.351733	-1.669597
35631		0.845068	-0.045856	-0.531455	-0.036226	-5.171288	-64.363147	-1.653652
35632		0.845011	-0.045895	-0.531542	-0.036224	-5.180915	-64.374986	-1.647004
35633		0.844964	-0.045924	-0.531616	-0.036202	-5.191169	-64.384871	-1.637219
35634		0.844920	-0.045959	-0.531683	-0.036219	-5.197324	-64.394027	-1.635307
35635		0.844874	-0.046042	-0.531744	-0.036276	-5.208399	-64.402848	-1.635642
35636		0.844823	-0.046091	-0.531818	-0.036321	-5.213879	-64.413283	-1.637924
35637		0.844790	-0.046204	-0.531854	-0.036422	-5.225112	-64.418959	-1.644443
35638		0.844747	-0.046269	-0.531915	-0.036437	-5.238150	-64.427383	-1.637965
35639		0.844700	-0.046351	-0.531977	-0.036516	-5.246015	-64.436450	-1.643360
35640		0.844658	-0.046414	-0.532036	-0.036550	-5.255814	-64.444780	-1.641446
