// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4215D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
35519		0.643304	-0.584364	-0.362392	-0.336675	-83.887857	-59.287284	-1.080485
35520		0.643385	-0.584251	-0.362422	-0.336685	-83.862229	-59.290851	-1.093344
35521		0.643436	-0.584183	-0.362420	-0.336708	-83.843512	-59.292584	-1.106536
35522		0.643497	-0.584104	-0.362398	-0.336752	-83.818891	-59.294219	-1.126812
35523		0.643524	-0.584064	-0.362347	-0.336824	-83.799804	-59.295420	-1.149279
35524		0.643487	-0.584044	-0.362311	-0.336968	-83.787056	-59.304674	-1.173823
35525		0.643488	-0.583986	-0.362314	-0.337063	-83.770546	-59.313232	-1.192311
35526		0.643498	-0.583916	-0.362320	-0.337159	-83.751403	-59.322168	-1.212178
35527		0.643541	-0.583816	-0.362371	-0.337196	-83.731957	-59.330276	-1.222477
35528		0.643588	-0.583740	-0.362390	-0.337217	-83.714254	-59.333834	-1.232919
35529		0.643603	-0.583719	-0.362371	-0.337245	-83.705547	-59.334496	-1.242336
35530		0.643542	-0.583800	-0.362285	-0.337314	-83.713233	-59.332153	-1.252263
35531		0.643477	-0.583912	-0.362176	-0.337362	-83.726083	-59.325889	-1.259276
35532		0.643412	-0.584037	-0.362074	-0.337379	-83.743742	-59.317509	-1.259794
35533		0.643366	-0.584117	-0.362016	-0.337389	-83.756495	-59.312848	-1.258553
35534		0.643334	-0.584158	-0.361982	-0.337417	-83.761790	-59.312123	-1.261310
35535		0.643338	-0.584124	-0.362022	-0.337424	-83.758725	-59.316629	-1.260201
35536		0.643362	-0.584038	-0.362110	-0.337434	-83.748504	-59.325945	-1.259355
35537		0.643358	-0.583957	-0.362201	-0.337482	-83.739643	-59.339087	-1.261264
35538		0.643323	-0.583909	-0.362275	-0.337554	-83.736664	-59.352668	-1.263524
35539		0.643266	-0.583897	-0.362344	-0.337609	-83.742439	-59.364372	-1.259664
35540		0.643224	-0.583916	-0.362384	-0.337613	-83.753284	-59.368724	-1.250358
35541		0.643170	-0.583964	-0.362407	-0.337608	-83.769488	-59.370612	-1.238555
35542		0.643119	-0.584016	-0.362423	-0.337599	-83.785662	-59.371452	-1.227059
35543		0.643093	-0.584045	-0.362455	-0.337563	-83.798606	-59.371568	-1.213379
35544		0.643078	-0.584045	-0.362481	-0.337563	-83.802368	-59.374045	-1.208995
35545		0.643059	-0.584024	-0.362544	-0.337569	-83.805873	-59.380770	-1.201989
35546		0.643032	-0.583995	-0.362582	-0.337628	-83.802893	-59.389739	-1.206258
35547		0.642993	-0.583975	-0.362609	-0.337710	-83.800029	-59.399542	-1.213564
35548		0.642931	-0.583990	-0.362600	-0.337813	-83.800941	-59.407824	-1.224092
35549		0.642845	-0.584058	-0.362544	-0.337918	-83.809166	-59.411761	-1.234614
35550		0.642747	-0.584148	-0.362478	-0.338020	-83.821593	-59.414493	-1.243327
35551		0.642667	-0.584249	-0.362389	-0.338091	-83.834249	-59.412217	-1.250940
35552		0.642609	-0.584327	-0.362325	-0.338136	-83.844663	-59.410017	-1.255012
35553		0.642517	-0.584423	-0.362246	-0.338229	-83.857195	-59.410663	-1.263992
35554		0.642465	-0.584465	-0.362226	-0.338278	-83.864339	-59.413119	-1.266525
35555		0.642401	-0.584500	-0.362202	-0.338364	-83.868746	-59.418488	-1.274602
35556		0.642339	-0.584491	-0.362224	-0.338474	-83.867915	-59.430352	-1.283988
35557		0.642323	-0.584422	-0.362311	-0.338529	-83.861550	-59.443696	-1.285475
35558		0.642314	-0.584339	-0.362396	-0.338599	-83.850738	-59.458134	-1.291077
35559		0.642284	-0.584273	-0.362503	-0.338656	-83.848035	-59.473506	-1.288887
35560		0.642230	-0.584237	-0.362566	-0.338754	-83.846076	-59.488399	-1.294147
35561		0.642164	-0.584234	-0.362611	-0.338836	-83.850621	-59.500133	-1.295677
35562		0.642088	-0.584267	-0.362600	-0.338934	-83.856111	-59.507863	-1.303270
35563		0.641988	-0.584313	-0.362569	-0.339077	-83.861568	-59.517448	-1.316953
35564		0.641887	-0.584395	-0.362506	-0.339196	-83.871892	-59.521946	-1.328348
35565		0.641793	-0.584466	-0.362447	-0.339312	-83.880479	-59.526677	-1.340009
35566		0.641710	-0.584527	-0.362415	-0.339398	-83.890570	-59.531256	-1.345562
35567		0.641650	-0.584576	-0.362385	-0.339460	-83.898003	-59.533898	-1.350045
35568		0.641611	-0.584600	-0.362375	-0.339504	-83.902128	-59.536838	-1.352947
35569		0.641574	-0.584632	-0.362363	-0.339532	-83.908370	-59.538186	-1.353209
35570		0.641534	-0.584666	-0.362342	-0.339570	-83.913968	-59.539610	-1.355528
35571		0.641480	-0.584728	-0.362290	-0.339620	-83.921952	-59.539056	-1.360576
35572		0.641403	-0.584820	-0.362190	-0.339715	-83.930080	-59.537787	-1.374006
35573		0.641314	-0.584918	-0.362078	-0.339834	-83.937612	-59.537513	-1.391310
35574		0.641187	-0.585039	-0.361967	-0.339983	-83.951107	-59.540066	-1.408004
35575		0.641098	-0.585129	-0.361893	-0.340074	-83.962781	-59.541014	-1.416845
35576		0.641044	-0.585168	-0.361875	-0.340129	-83.969440	-59.544212	-1.420062
35577		0.641002	-0.585191	-0.361875	-0.340168	-83.975173	-59.547697	-1.420548
35578		0.640982	-0.585193	-0.361876	-0.340201	-83.975380	-59.550715	-1.423594
35579		0.640985	-0.585179	-0.361922	-0.340172	-83.978692	-59.552666	-1.414851
35580		0.640971	-0.585188	-0.361961	-0.340141	-83.987442	-59.553826	-1.403326
35581		0.640958	-0.585208	-0.361984	-0.340105	-83.996724	-59.552971	-1.392493
35582		0.640899	-0.585275	-0.361991	-0.340095	-84.015597	-59.552846	-1.380060
35583		0.640861	-0.585334	-0.361977	-0.340080	-84.029536	-59.550280	-1.371783
35584		0.640816	-0.585413	-0.361917	-0.340092	-84.041671	-59.545625	-1.371284
35585		0.640767	-0.585492	-0.361845	-0.340124	-84.051463	-59.541580	-1.375220
35586		0.640737	-0.585549	-0.361795	-0.340136	-84.059079	-59.537790	-1.376457
35587		0.640689	-0.585623	-0.361716	-0.340183	-84.066332	-59.534344	-1.383767
35588		0.640628	-0.585699	-0.361650	-0.340237	-84.076086	-59.532773	-1.389352
35589		0.640571	-0.585769	-0.361624	-0.340253	-84.090363	-59.531790	-1.385171
35590		0.640517	-0.585819	-0.361591	-0.340304	-84.097977	-59.533205	-1.388726
35591		0.640544	-0.585769	-0.361649	-0.340277	-84.093719	-59.536411	-1.383409
35592		0.640586	-0.585680	-0.361730	-0.340264	-84.082304	-59.543045	-1.381417
35593		0.640663	-0.585540	-0.361851	-0.340233	-84.063198	-59.551943	-1.378752
35594		0.640725	-0.585398	-0.361970	-0.340233	-84.043022	-59.563327	-1.379807
35595		0.640763	-0.585267	-0.362069	-0.340281	-84.022012	-59.577057	-1.387919
35596		0.640802	-0.585174	-0.362134	-0.340298	-84.006508	-59.584835	-1.392842
35597		0.640764	-0.585146	-0.362123	-0.340429	-83.995598	-59.595386	-1.412912
35598		0.640722	-0.585128	-0.362078	-0.340588	-83.981422	-59.604958	-1.440679
35599		0.640679	-0.585132	-0.362031	-0.340713	-83.973583	-59.611447	-1.461705
35600		0.640598	-0.585174	-0.361967	-0.340859	-83.973067	-59.618270	-1.482004
35601		0.640558	-0.585198	-0.361951	-0.340911	-83.976294	-59.621288	-1.486672
35602		0.640564	-0.585196	-0.361958	-0.340895	-83.977044	-59.620570	-1.484052
35603		0.640597	-0.585174	-0.361992	-0.340835	-83.977185	-59.618619	-1.475033
35604		0.640644	-0.585148	-0.362040	-0.340742	-83.978681	-59.614931	-1.460794
35605		0.640688	-0.585124	-0.362075	-0.340661	-83.978906	-59.611118	-1.449613
35606		0.640706	-0.585121	-0.362109	-0.340599	-83.983890	-59.608950	-1.437621
35607		0.640668	-0.585166	-0.362096	-0.340605	-83.993988	-59.608333	-1.433609
35608		0.640645	-0.585210	-0.362086	-0.340584	-84.004558	-59.605676	-1.426318
35609		0.640585	-0.585277	-0.362046	-0.340624	-84.015882	-59.605294	-1.427322
35610		0.640523	-0.585372	-0.361988	-0.340640	-84.032243	-59.601291	-1.424618
35611		0.640495	-0.585422	-0.361954	-0.340640	-84.040764	-59.598061	-1.422749
35612		0.640520	-0.585440	-0.361955	-0.340562	-84.046932	-59.591268	-1.411364
35613		0.640495	-0.585482	-0.361939	-0.340554	-84.055833	-59.589084	-1.406887
35614		0.640463	-0.585525	-0.361914	-0.340567	-84.063385	-59.587843	-1.406096
