// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4151A
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
50856		0.818433	-0.026057	-0.569001	-0.075675	7.057045	-69.280183	-15.444377
50857		0.817539	-0.027066	-0.570367	-0.074695	6.713493	-69.494351	-15.100306
50858		0.816625	-0.028200	-0.571738	-0.073777	6.342049	-69.710614	-14.743907
50859		0.815713	-0.029280	-0.573120	-0.072720	5.951615	-69.927875	-14.352523
50860		0.814874	-0.030289	-0.574393	-0.071656	5.563585	-70.128537	-13.957298
50861		0.814105	-0.031267	-0.575565	-0.070568	5.164665	-70.314185	-13.546890
50862		0.813360	-0.032314	-0.576671	-0.069657	4.770147	-70.490051	-13.161348
50863		0.812667	-0.033303	-0.577697	-0.068772	4.385131	-70.653266	-12.782878
50864		0.812040	-0.034326	-0.578601	-0.068073	4.014549	-70.798401	-12.437228
50865		0.811528	-0.035119	-0.579360	-0.067318	3.683761	-70.919656	-12.108105
50866		0.811051	-0.035788	-0.580064	-0.066646	3.397802	-71.030704	-11.820498
50867		0.810613	-0.036318	-0.580719	-0.065978	3.146319	-71.132529	-11.556438
50868		0.810233	-0.036816	-0.581270	-0.065514	2.938182	-71.218345	-11.349982
50869		0.809926	-0.037239	-0.581711	-0.065157	2.766131	-71.287158	-11.182540
50870		0.809681	-0.037669	-0.582042	-0.065005	2.628175	-71.339869	-11.066882
50871		0.809496	-0.038033	-0.582279	-0.064961	2.526513	-71.378237	-10.991046
50872		0.809316	-0.038216	-0.582518	-0.064966	2.487071	-71.414138	-10.966697
50873		0.809139	-0.038281	-0.582749	-0.065053	2.498348	-71.447123	-10.990127
50874		0.809019	-0.038336	-0.582884	-0.065298	2.541117	-71.466126	-11.057308
50875		0.808971	-0.038351	-0.582909	-0.065672	2.617101	-71.468626	-11.165336
50876		0.808947	-0.038341	-0.582888	-0.066148	2.719295	-71.464013	-11.305964
50877		0.808934	-0.038232	-0.582855	-0.066662	2.857347	-71.456078	-11.477414
50878		0.808949	-0.038017	-0.582794	-0.067133	3.015553	-71.442741	-11.656835
50879		0.809014	-0.037882	-0.582650	-0.067674	3.160208	-71.418518	-11.835187
50880		0.809105	-0.037712	-0.582471	-0.068233	3.316072	-71.388712	-12.023513
50881		0.809207	-0.037476	-0.582280	-0.068772	3.485641	-71.356244	-12.218432
50882		0.809328	-0.037226	-0.582057	-0.069373	3.669793	-71.318642	-12.431988
50883		0.809486	-0.036966	-0.581777	-0.070006	3.859123	-71.272578	-12.652631
50884		0.809655	-0.036664	-0.581481	-0.070671	4.064964	-71.223309	-12.889006
50885		0.809812	-0.036347	-0.581195	-0.071384	4.284551	-71.174660	-13.141717
50886		0.809976	-0.035981	-0.580898	-0.072124	4.521708	-71.123282	-13.410369
50887		0.810142	-0.035520	-0.580596	-0.072913	4.794140	-71.069096	-13.710548
50888		0.810264	-0.035072	-0.580341	-0.073802	5.085035	-71.020606	-14.038430
50889		0.810374	-0.034503	-0.580108	-0.074689	5.409548	-70.972574	-14.389750
50890		0.810451	-0.033935	-0.579904	-0.075688	5.757232	-70.927332	-14.773556
50891		0.810503	-0.033207	-0.579751	-0.076626	6.139211	-70.885928	-15.173462
50892		0.810521	-0.032439	-0.579626	-0.077696	6.559849	-70.845867	-15.619542
50893		0.810520	-0.031589	-0.579534	-0.078735	6.998210	-70.808117	-16.073954
50894		0.810438	-0.030687	-0.579542	-0.079872	7.477372	-70.781153	-16.572832
50895		0.810284	-0.029655	-0.579659	-0.080967	7.992929	-70.765725	-17.093778
50896		0.810058	-0.028559	-0.579869	-0.082117	8.545463	-70.759640	-17.650869
50897		0.809764	-0.027276	-0.580190	-0.083168	9.139928	-70.764410	-18.226191
50898		0.809389	-0.025958	-0.580617	-0.084256	9.762735	-70.780504	-18.829786
50899		0.808956	-0.024488	-0.581144	-0.085223	10.415471	-70.806387	-19.440655
50900		0.808463	-0.022977	-0.581741	-0.086233	11.097388	-70.838256	-20.080910
50901		0.807931	-0.021304	-0.582410	-0.087134	11.812994	-70.875138	-20.732333
50902		0.807349	-0.019670	-0.583133	-0.088070	12.534478	-70.917473	-21.395772
50903		0.806712	-0.017970	-0.583941	-0.088915	13.269869	-70.968512	-22.060050
50904		0.806007	-0.016377	-0.584817	-0.089849	14.007191	-71.027879	-22.742317
50905		0.805213	-0.014713	-0.585828	-0.090672	14.765394	-71.102656	-23.430266
50906		0.804359	-0.013141	-0.586889	-0.091625	15.537943	-71.181863	-24.150821
50907		0.803466	-0.011600	-0.587994	-0.092581	16.315813	-71.264893	-24.879523
50908		0.802538	-0.010163	-0.589108	-0.093706	17.108257	-71.346203	-25.645237
50909		0.801568	-0.008765	-0.590265	-0.094861	17.910520	-71.430572	-26.426551
50910		0.800591	-0.007469	-0.591377	-0.096290	18.740632	-71.503028	-27.266684
50911		0.799623	-0.006057	-0.592465	-0.097733	19.607405	-71.564663	-28.135289
50912		0.798652	-0.004671	-0.593510	-0.099391	20.509391	-71.612443	-29.059000
50913		0.797710	-0.003251	-0.594494	-0.101118	21.427566	-71.645283	-30.002110
50914		0.796784	-0.001821	-0.595420	-0.102987	22.370016	-71.662158	-30.980430
50915		0.795876	-0.000322	-0.596315	-0.104829	23.321138	-71.668622	-31.959741
50916		0.794966	0.001131	-0.597189	-0.106742	24.270975	-71.667620	-32.947478
50917		0.794116	0.002651	-0.597982	-0.108583	25.207540	-71.651383	-33.910614
50918		0.793269	0.004141	-0.598757	-0.110438	26.133936	-71.629160	-34.867391
50919		0.792483	0.005710	-0.599461	-0.112179	27.040652	-71.594298	-35.788682
50920		0.791752	0.007221	-0.600091	-0.113869	27.902824	-71.550533	-36.666143
50921		0.791090	0.008816	-0.600654	-0.115390	28.734233	-71.496993	-37.492082
50922		0.790462	0.010353	-0.601171	-0.116857	29.526277	-71.439228	-38.279095
50923		0.789890	0.011951	-0.601640	-0.118151	30.284680	-71.376139	-39.013297
50924		0.789401	0.013469	-0.602007	-0.119385	30.981810	-71.304106	-39.687875
50925		0.788984	0.015021	-0.602304	-0.120453	31.634682	-71.226347	-40.301914
50926		0.788607	0.016471	-0.602549	-0.121505	32.241970	-71.145981	-40.877383
50927		0.788317	0.017874	-0.602698	-0.122442	32.787932	-71.059641	-41.386058
50928		0.788072	0.019151	-0.602788	-0.123379	33.284008	-70.971255	-41.855242
50929		0.787881	0.020408	-0.602831	-0.124184	33.735396	-70.882637	-42.270498
50930		0.787705	0.021487	-0.602850	-0.125028	34.141829	-70.797503	-42.658618
50931		0.787576	0.022498	-0.602832	-0.125743	34.497081	-70.716149	-42.990526
50932		0.787446	0.023418	-0.602820	-0.126445	34.828380	-70.640032	-43.304763
50933		0.787365	0.024241	-0.602770	-0.127029	35.104730	-70.568900	-43.562387
50934		0.787339	0.024801	-0.602634	-0.127732	35.315471	-70.495897	-43.785790
50935		0.787409	0.025296	-0.602396	-0.128320	35.463197	-70.419628	-43.942131
50936		0.787542	0.025653	-0.602090	-0.128868	35.553567	-70.344252	-44.049214
50937		0.787699	0.025922	-0.601772	-0.129338	35.607286	-70.275372	-44.120464
50938		0.787845	0.026110	-0.601481	-0.129767	35.642688	-70.215309	-44.176491
50939		0.787986	0.026266	-0.601204	-0.130159	35.668187	-70.159947	-44.222189
50940		0.788180	0.026423	-0.600875	-0.130476	35.667661	-70.101964	-44.235604
50941		0.788407	0.026575	-0.600516	-0.130724	35.647147	-70.043833	-44.223862
50942		0.788722	0.026708	-0.600048	-0.130941	35.588649	-69.975937	-44.173137
50943		0.789074	0.026800	-0.599535	-0.131156	35.509236	-69.905136	-44.104798
50944		0.789457	0.026851	-0.598991	-0.131327	35.405833	-69.834810	-44.012189
50945		0.789860	0.026712	-0.598418	-0.131544	35.260384	-69.768824	-43.897069
50946		0.790290	0.026440	-0.597815	-0.131754	35.077916	-69.706482	-43.755177
50947		0.790740	0.026140	-0.597203	-0.131891	34.875880	-69.647353	-43.590061
50948		0.791226	0.025756	-0.596550	-0.132010	34.643110	-69.588373	-43.399601
50949		0.791781	0.025279	-0.595798	-0.132168	34.372314	-69.521045	-43.182216
50950		0.792326	0.024766	-0.595053	-0.132356	34.101817	-69.454907	-42.970560
50951		0.792876	0.024181	-0.594300	-0.132553	33.816486	-69.390590	-42.750733
50952		0.793439	0.023416	-0.593496	-0.132926	33.508469	-69.322002	-42.537665
50953		0.794009	0.022649	-0.592683	-0.133278	33.196472	-69.253154	-42.319130
50954		0.794550	0.021746	-0.591874	-0.133798	32.883976	-69.184315	-42.125293
50955		0.795066	0.020867	-0.591094	-0.134322	32.586162	-69.117257	-41.944428
50956		0.795546	0.019867	-0.590327	-0.135007	32.291645	-69.051058	-41.790290
