// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B41517
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
34038		0.081613	-0.566702	-0.025944	-0.819460	-7.984075	-68.909613	-163.142203
34039		0.081650	-0.566698	-0.025961	-0.819459	-7.985968	-68.909044	-163.135852
34040		0.081585	-0.566689	-0.025906	-0.819473	-7.987692	-68.907367	-163.143953
34041		0.081655	-0.566673	-0.025945	-0.819476	-7.988680	-68.905272	-163.133928
34042		0.081635	-0.566654	-0.025952	-0.819491	-7.981848	-68.903057	-163.141794
34043		0.081544	-0.566654	-0.025923	-0.819501	-7.973053	-68.903318	-163.160469
34044		0.081539	-0.566656	-0.025954	-0.819499	-7.964387	-68.904386	-163.167059
34045		0.081463	-0.566661	-0.025933	-0.819504	-7.956627	-68.905361	-163.182887
34046		0.081408	-0.566667	-0.025905	-0.819506	-7.954235	-68.906091	-163.192137
34047		0.081406	-0.566675	-0.025916	-0.819501	-7.951797	-68.907393	-163.193798
34048		0.081372	-0.566665	-0.025875	-0.819512	-7.955510	-68.905542	-163.196288
34049		0.081262	-0.566651	-0.025800	-0.819535	-7.953674	-68.903153	-163.213452
34050		0.081271	-0.566643	-0.025788	-0.819540	-7.957750	-68.901850	-163.209550
34051		0.081358	-0.566669	-0.025858	-0.819511	-7.957488	-68.905967	-163.196923
34052		0.081356	-0.566708	-0.025837	-0.819485	-7.965750	-68.910850	-163.190535
34053		0.081432	-0.566782	-0.025894	-0.819425	-7.970781	-68.921245	-163.174684
34054		0.081393	-0.566841	-0.025857	-0.819389	-7.978010	-68.928961	-163.173871
34055		0.081286	-0.566901	-0.025774	-0.819361	-7.984751	-68.936476	-163.182956
34056		0.081256	-0.566928	-0.025739	-0.819346	-7.990780	-68.939799	-163.182349
34057		0.081298	-0.566923	-0.025764	-0.819344	-7.991544	-68.939207	-163.175983
34058		0.081335	-0.566879	-0.025784	-0.819370	-7.989346	-68.933258	-163.173459
34059		0.081386	-0.566832	-0.025838	-0.819396	-7.980935	-68.927381	-163.173102
34060		0.081426	-0.566795	-0.025888	-0.819416	-7.972325	-68.922964	-163.174161
34061		0.081583	-0.566768	-0.026016	-0.819415	-7.965587	-68.920468	-163.157273
34062		0.081563	-0.566780	-0.026032	-0.819408	-7.958769	-68.922554	-163.164488
34063		0.081518	-0.566811	-0.026002	-0.819392	-7.961131	-68.926590	-163.168420
34064		0.081475	-0.566849	-0.025975	-0.819371	-7.963084	-68.931637	-163.172316
34065		0.081565	-0.566856	-0.026047	-0.819355	-7.961632	-68.933210	-163.160414
34066		0.081554	-0.566834	-0.026040	-0.819372	-7.959556	-68.930194	-163.163933
34067		0.081602	-0.566803	-0.026111	-0.819386	-7.947532	-68.926926	-163.166081
34068		0.081611	-0.566764	-0.026099	-0.819413	-7.948827	-68.921269	-163.164940
34069		0.081609	-0.566747	-0.026100	-0.819425	-7.946990	-68.918987	-163.166874
34070		0.081548	-0.566745	-0.026109	-0.819432	-7.933609	-68.919498	-163.184554
34071		0.081435	-0.566739	-0.026037	-0.819449	-7.931390	-68.918291	-163.202006
34072		0.081365	-0.566753	-0.025994	-0.819448	-7.930857	-68.920041	-163.211859
34073		0.081417	-0.566764	-0.025994	-0.819436	-7.940872	-68.920978	-163.197566
34074		0.081333	-0.566803	-0.025920	-0.819419	-7.947944	-68.925594	-163.203628
34075		0.081268	-0.566837	-0.025820	-0.819405	-7.964676	-68.928908	-163.200608
34076		0.081177	-0.566867	-0.025758	-0.819395	-7.966713	-68.932594	-163.211215
