// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4151C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
34038		0.611319	-0.360085	-0.552493	-0.437469	18.336145	-82.117464	-87.181406
34039		0.611376	-0.360076	-0.552485	-0.437407	18.290127	-82.117598	-87.128395
34040		0.611401	-0.360102	-0.552458	-0.437384	18.247597	-82.118261	-87.086162
34041		0.611419	-0.360155	-0.552432	-0.437349	18.195147	-82.121811	-87.035255
34042		0.611397	-0.360258	-0.552379	-0.437361	18.142455	-82.126092	-86.993722
34043		0.611392	-0.360345	-0.552333	-0.437354	18.085955	-82.130098	-86.944886
34044		0.611384	-0.360391	-0.552310	-0.437357	18.060874	-82.132150	-86.924514
34045		0.611406	-0.360412	-0.552317	-0.437300	18.027438	-82.136477	-86.887323
34046		0.611469	-0.360406	-0.552329	-0.437204	17.976369	-82.139703	-86.826014
34047		0.611544	-0.360380	-0.552348	-0.437095	17.927122	-82.142317	-86.763418
34048		0.611595	-0.360386	-0.552339	-0.437029	17.875931	-82.143909	-86.706276
34049		0.611622	-0.360417	-0.552320	-0.436990	17.829257	-82.146135	-86.658617
34050		0.611633	-0.360485	-0.552268	-0.436986	17.770541	-82.147676	-86.606153
34051		0.611652	-0.360561	-0.552207	-0.436972	17.697350	-82.149448	-86.538994
34052		0.611666	-0.360635	-0.552139	-0.436978	17.630633	-82.149698	-86.480129
34053		0.611682	-0.360707	-0.552082	-0.436968	17.563553	-82.151216	-86.419111
34054		0.611708	-0.360746	-0.552047	-0.436944	17.510968	-82.152277	-86.367956
34055		0.611768	-0.360738	-0.552050	-0.436863	17.463078	-82.154087	-86.311180
34056		0.611793	-0.360742	-0.552070	-0.436800	17.439196	-82.158106	-86.281295
34057		0.611847	-0.360698	-0.552110	-0.436710	17.422190	-82.160337	-86.251043
34058		0.611876	-0.360685	-0.552121	-0.436665	17.405077	-82.161503	-86.228260
34059		0.611884	-0.360683	-0.552138	-0.436634	17.400344	-82.163785	-86.219994
34060		0.611883	-0.360730	-0.552126	-0.436612	17.368595	-82.167651	-86.190564
34061		0.611860	-0.360745	-0.552160	-0.436588	17.381303	-82.173046	-86.202189
34062		0.611833	-0.360785	-0.552142	-0.436616	17.377491	-82.174220	-86.204964
34063		0.611840	-0.360763	-0.552159	-0.436604	17.387910	-82.174130	-86.212070
34064		0.611842	-0.360742	-0.552178	-0.436594	17.400987	-82.174255	-86.222078
34065		0.611854	-0.360700	-0.552214	-0.436567	17.421558	-82.174508	-86.235810
34066		0.611907	-0.360608	-0.552276	-0.436490	17.439431	-82.173977	-86.237191
34067		0.611910	-0.360560	-0.552290	-0.436506	17.469468	-82.170441	-86.264219
34068		0.611821	-0.360618	-0.552272	-0.436606	17.510028	-82.171301	-86.320291
34069		0.611777	-0.360577	-0.552313	-0.436652	17.581699	-82.170010	-86.392401
34070		0.611744	-0.360536	-0.552381	-0.436644	17.643518	-82.172912	-86.449348
34071		0.611692	-0.360489	-0.552465	-0.436650	17.728394	-82.176305	-86.529931
34072		0.611740	-0.360316	-0.552606	-0.436547	17.811014	-82.176437	-86.585475
34073		0.611777	-0.360161	-0.552732	-0.436464	17.890728	-82.176252	-86.641775
34074		0.611864	-0.360000	-0.552828	-0.436354	17.927139	-82.173427	-86.651615
34075		0.611946	-0.359842	-0.552880	-0.436302	17.961177	-82.165136	-86.665397
34076		0.612024	-0.359732	-0.552852	-0.436319	17.962500	-82.151704	-86.658202
34077		0.612118	-0.359652	-0.552782	-0.436341	17.924732	-82.136981	-86.615487
34078		0.612154	-0.359648	-0.552691	-0.436411	17.888721	-82.125922	-86.586387
34079		0.612210	-0.359661	-0.552570	-0.436473	17.820045	-82.113993	-86.525694
34080		0.612314	-0.359613	-0.552482	-0.436478	17.751383	-82.101049	-86.453436
34081		0.612400	-0.359537	-0.552437	-0.436479	17.722207	-82.089533	-86.417320
34082		0.612508	-0.359418	-0.552413	-0.436454	17.701924	-82.076959	-86.383642
34083		0.612627	-0.359315	-0.552369	-0.436429	17.660711	-82.063808	-86.330300
34084		0.612769	-0.359201	-0.552326	-0.436377	17.605648	-82.050585	-86.259586
34085		0.612868	-0.359164	-0.552222	-0.436400	17.534223	-82.036473	-86.187485
34086		0.612931	-0.359231	-0.552023	-0.436508	17.419813	-82.020777	-86.090998
34087		0.612980	-0.359312	-0.551814	-0.436636	17.308536	-82.004811	-86.001116
34088		0.613016	-0.359397	-0.551613	-0.436770	17.207357	-81.989725	-85.922212
34089		0.613069	-0.359454	-0.551439	-0.436869	17.111123	-81.975609	-85.841976
