// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B41517
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
35519		0.078864	-0.567344	-0.025263	-0.819307	-7.715163	-69.009796	-163.695951
35520		0.078868	-0.567350	-0.025255	-0.819302	-7.718511	-69.010437	-163.692931
35521		0.079021	-0.567323	-0.025370	-0.819302	-7.714559	-69.007607	-163.674746
35522		0.079062	-0.567285	-0.025414	-0.819324	-7.707567	-69.002868	-163.674610
35523		0.079115	-0.567251	-0.025470	-0.819340	-7.700000	-68.998828	-163.673215
35524		0.079121	-0.567261	-0.025478	-0.819332	-7.699846	-69.000351	-163.672163
35525		0.079019	-0.567270	-0.025405	-0.819339	-7.700822	-69.001003	-163.685700
35526		0.079015	-0.567239	-0.025391	-0.819361	-7.701280	-68.996541	-163.686584
35527		0.079038	-0.567219	-0.025380	-0.819372	-7.706621	-68.993488	-163.680270
35528		0.079052	-0.567182	-0.025363	-0.819397	-7.710569	-68.987996	-163.676486
35529		0.079082	-0.567119	-0.025375	-0.819438	-7.708087	-68.979325	-163.675398
35530		0.079109	-0.567060	-0.025383	-0.819475	-7.706111	-68.971195	-163.674314
35531		0.079111	-0.567024	-0.025391	-0.819500	-7.701630	-68.966347	-163.677874
35532		0.079124	-0.567018	-0.025430	-0.819502	-7.693555	-68.966167	-163.681687
35533		0.079166	-0.567031	-0.025471	-0.819487	-7.691507	-68.968398	-163.676848
35534		0.079158	-0.567062	-0.025464	-0.819467	-7.694286	-68.972604	-163.675399
35535		0.079149	-0.567081	-0.025449	-0.819455	-7.698022	-68.974983	-163.673752
35536		0.079130	-0.567097	-0.025413	-0.819447	-7.705324	-68.976631	-163.671005
35537		0.079181	-0.567084	-0.025424	-0.819451	-7.710477	-68.974565	-163.660663
35538		0.079172	-0.567043	-0.025388	-0.819481	-7.714929	-68.968387	-163.659925
35539		0.079167	-0.566996	-0.025356	-0.819515	-7.718397	-68.961341	-163.659318
35540		0.079176	-0.566911	-0.025323	-0.819574	-7.721941	-68.948976	-163.657634
35541		0.079166	-0.566837	-0.025311	-0.819627	-7.717288	-68.938830	-163.664009
35542		0.079174	-0.566768	-0.025305	-0.819674	-7.714827	-68.929124	-163.666116
35543		0.079111	-0.566735	-0.025274	-0.819704	-7.708711	-68.924620	-163.679880
35544		0.079108	-0.566722	-0.025315	-0.819712	-7.696691	-68.923745	-163.688813
35545		0.079131	-0.566731	-0.025357	-0.819702	-7.690989	-68.925554	-163.689157
35546		0.079109	-0.566731	-0.025349	-0.819704	-7.688888	-68.925596	-163.693769
35547		0.078998	-0.566697	-0.025261	-0.819741	-7.688940	-68.920283	-163.710076
35548		0.078958	-0.566648	-0.025245	-0.819780	-7.682006	-68.913591	-163.721558
35549		0.078917	-0.566599	-0.025238	-0.819818	-7.672311	-68.907190	-163.735071
35550		0.078915	-0.566543	-0.025222	-0.819857	-7.671816	-68.899273	-163.736908
35551		0.078934	-0.566505	-0.025263	-0.819880	-7.661848	-68.894803	-163.741900
35552		0.078920	-0.566490	-0.025276	-0.819891	-7.654814	-68.893102	-163.749070
35553		0.078897	-0.566501	-0.025276	-0.819886	-7.651305	-68.894741	-163.754462
35554		0.078871	-0.566541	-0.025299	-0.819860	-7.644137	-68.900902	-163.761924
35555		0.078908	-0.566584	-0.025323	-0.819826	-7.647881	-68.906965	-163.753249
35556		0.078834	-0.566645	-0.025335	-0.819791	-7.636224	-68.916138	-163.770096
35557		0.078752	-0.566690	-0.025314	-0.819768	-7.630535	-68.922675	-163.784455
35558		0.078683	-0.566725	-0.025277	-0.819752	-7.630357	-68.927378	-163.793402
35559		0.078647	-0.566741	-0.025272	-0.819744	-7.626261	-68.929785	-163.800967
35560		0.078574	-0.566734	-0.025272	-0.819756	-7.612770	-68.929458	-163.820504
35561		0.078557	-0.566719	-0.025288	-0.819767	-7.604426	-68.927962	-163.828887
35562		0.078487	-0.566727	-0.025269	-0.819769	-7.597353	-68.929284	-163.843366
35563		0.078357	-0.566764	-0.025224	-0.819758	-7.588353	-68.934644	-163.866930
35564		0.078274	-0.566807	-0.025170	-0.819737	-7.590623	-68.940298	-163.875967
35565		0.078192	-0.566847	-0.025167	-0.819718	-7.579700	-68.946355	-163.894034
35566		0.078105	-0.566897	-0.025109	-0.819693	-7.582933	-68.952906	-163.902952
35567		0.077998	-0.566924	-0.025076	-0.819686	-7.574056	-68.956906	-163.923381
35568		0.077934	-0.566912	-0.025061	-0.819701	-7.565519	-68.955601	-163.938480
35569		0.077914	-0.566882	-0.025075	-0.819723	-7.556131	-68.951905	-163.948231
35570		0.077889	-0.566837	-0.025067	-0.819756	-7.550176	-68.945948	-163.956870
35571		0.077901	-0.566803	-0.025075	-0.819779	-7.547442	-68.941251	-163.957888
35572		0.077867	-0.566789	-0.025075	-0.819792	-7.540390	-68.939694	-163.967778
35573		0.077853	-0.566770	-0.025078	-0.819806	-7.535602	-68.937318	-163.973417
35574		0.077845	-0.566749	-0.025086	-0.819821	-7.530551	-68.934674	-163.978435
35575		0.077838	-0.566711	-0.025099	-0.819847	-7.523014	-68.929837	-163.985395
35576		0.077838	-0.566672	-0.025101	-0.819874	-7.519517	-68.924526	-163.988699
35577		0.077917	-0.566628	-0.025123	-0.819897	-7.524483	-68.918128	-163.975282
35578		0.077938	-0.566602	-0.025119	-0.819913	-7.527390	-68.914317	-163.970834
35579		0.077907	-0.566586	-0.025088	-0.819928	-7.528468	-68.911917	-163.974923
35580		0.077945	-0.566570	-0.025109	-0.819935	-7.528831	-68.909726	-163.969625
35581		0.077943	-0.566548	-0.025115	-0.819950	-7.525102	-68.906850	-163.973027
35582		0.077973	-0.566517	-0.025096	-0.819969	-7.532981	-68.902064	-163.964129
35583		0.077892	-0.566517	-0.025056	-0.819978	-7.528785	-68.902010	-163.978367
35584		0.077887	-0.566499	-0.025043	-0.819991	-7.529688	-68.899289	-163.978798
35585		0.077882	-0.566482	-0.025041	-0.820003	-7.528121	-68.897067	-163.980939
35586		0.077861	-0.566470	-0.025032	-0.820014	-7.525538	-68.895378	-163.986031
35587		0.077934	-0.566459	-0.025101	-0.820012	-7.520294	-68.894588	-163.979552
35588		0.077957	-0.566421	-0.025096	-0.820037	-7.522725	-68.889048	-163.975584
35589		0.078075	-0.566407	-0.025200	-0.820032	-7.516140	-68.888119	-163.963674
35590		0.078090	-0.566373	-0.025210	-0.820053	-7.513587	-68.883557	-163.964165
35591		0.078017	-0.566367	-0.025150	-0.820067	-7.515434	-68.882136	-163.973300
35592		0.078032	-0.566373	-0.025144	-0.820062	-7.520208	-68.882687	-163.967822
35593		0.078095	-0.566375	-0.025164	-0.820053	-7.526475	-68.882866	-163.954630
35594		0.078120	-0.566378	-0.025133	-0.820050	-7.539208	-68.882397	-163.942396
35595		0.078263	-0.566363	-0.025183	-0.820045	-7.550820	-68.880089	-163.914788
35596		0.078281	-0.566348	-0.025201	-0.820053	-7.548193	-68.878099	-163.914497
35597		0.078244	-0.566318	-0.025117	-0.820080	-7.560948	-68.872796	-163.911593
35598		0.078256	-0.566322	-0.025131	-0.820076	-7.559761	-68.873433	-163.910705
35599		0.078285	-0.566316	-0.025131	-0.820077	-7.564444	-68.872470	-163.903589
35600		0.078319	-0.566281	-0.025154	-0.820097	-7.561842	-68.867760	-163.901416
35601		0.078387	-0.566242	-0.025195	-0.820116	-7.560629	-68.862668	-163.893547
35602		0.078422	-0.566221	-0.025209	-0.820127	-7.561463	-68.859648	-163.888617
35603		0.078405	-0.566190	-0.025166	-0.820152	-7.567230	-68.854727	-163.887757
35604		0.078427	-0.566164	-0.025162	-0.820168	-7.570078	-68.850925	-163.883361
35605		0.078443	-0.566150	-0.025205	-0.820174	-7.560771	-68.849710	-163.887695
35606		0.078480	-0.566143	-0.025201	-0.820176	-7.568014	-68.848336	-163.877718
35607		0.078388	-0.566151	-0.025157	-0.820180	-7.563462	-68.849408	-163.893517
35608		0.078415	-0.566159	-0.025179	-0.820171	-7.563220	-68.850790	-163.889819
35609		0.078409	-0.566181	-0.025204	-0.820156	-7.557565	-68.854228	-163.893937
35610		0.078403	-0.566190	-0.025221	-0.820150	-7.552894	-68.855905	-163.897708
35611		0.078377	-0.566160	-0.025241	-0.820172	-7.540657	-68.852422	-163.910320
35612		0.078353	-0.566133	-0.025251	-0.820193	-7.531641	-68.849103	-163.920476
35613		0.078312	-0.566104	-0.025223	-0.820218	-7.529170	-68.845030	-163.928591
35614		0.078292	-0.566063	-0.025185	-0.820249	-7.532124	-68.838966	-163.930370
35615		0.078163	-0.566044	-0.025120	-0.820276	-7.524459	-68.836256	-163.954042
35616		0.078146	-0.566051	-0.025109	-0.820274	-7.524787	-68.837106	-163.956050
35617		0.078238	-0.566080	-0.025174	-0.820243	-7.526850	-68.841450	-163.941031
35618		0.078222	-0.566116	-0.025182	-0.820220	-7.524606	-68.846644	-163.944063
35619		0.078244	-0.566146	-0.025238	-0.820195	-7.516426	-68.851698	-163.945858
35620		0.078247	-0.566154	-0.025267	-0.820188	-7.510236	-68.853322	-163.949447
35621		0.078388	-0.566139	-0.025381	-0.820182	-7.504933	-68.852119	-163.933614
35622		0.078373	-0.566153	-0.025413	-0.820173	-7.495267	-68.854779	-163.941848
35623		0.078324	-0.566153	-0.025394	-0.820178	-7.491399	-68.854859	-163.951415
35624		0.078345	-0.566142	-0.025418	-0.820182	-7.488209	-68.853720	-163.950829
35625		0.078349	-0.566140	-0.025423	-0.820184	-7.487352	-68.853422	-163.950952
35626		0.078362	-0.566147	-0.025454	-0.820176	-7.482624	-68.854953	-163.952061
35627		0.078390	-0.566173	-0.025488	-0.820154	-7.480765	-68.858873	-163.948867
35628		0.078381	-0.566220	-0.025509	-0.820122	-7.477453	-68.865750	-163.951255
35629		0.078444	-0.566245	-0.025567	-0.820097	-7.475846	-68.869700	-163.942910
35630		0.078422	-0.566300	-0.025571	-0.820061	-7.475024	-68.877524	-163.945352
35631		0.078383	-0.566345	-0.025556	-0.820034	-7.475240	-68.883759	-163.949707
35632		0.078371	-0.566374	-0.025570	-0.820015	-7.471976	-68.888068	-163.952902
