// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B4151C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
35519		0.622031	-0.346872	-0.559582	-0.423822	17.824268	-81.963322	-84.052190
35520		0.622036	-0.346841	-0.559533	-0.423905	17.839463	-81.953409	-84.072855
35521		0.622033	-0.346816	-0.559493	-0.423983	17.858111	-81.944990	-84.097019
35522		0.622047	-0.346729	-0.559540	-0.423972	17.904379	-81.941892	-84.133927
35523		0.622026	-0.346704	-0.559544	-0.424016	17.939520	-81.938817	-84.171089
35524		0.622023	-0.346685	-0.559529	-0.424057	17.955145	-81.934417	-84.189090
35525		0.622054	-0.346603	-0.559533	-0.424072	17.981184	-81.926873	-84.208947
35526		0.622050	-0.346576	-0.559525	-0.424112	18.002985	-81.922475	-84.232133
35527		0.622088	-0.346513	-0.559540	-0.424087	18.010508	-81.918866	-84.231274
35528		0.622106	-0.346509	-0.559512	-0.424100	17.995313	-81.915469	-84.217228
35529		0.622117	-0.346519	-0.559478	-0.424122	17.978306	-81.912428	-84.203440
35530		0.622053	-0.346595	-0.559422	-0.424227	17.983305	-81.910924	-84.226030
35531		0.621980	-0.346662	-0.559389	-0.424323	18.003283	-81.911140	-84.261862
35532		0.621932	-0.346695	-0.559375	-0.424385	18.024644	-81.911143	-84.292423
35533		0.621894	-0.346674	-0.559417	-0.424403	18.074594	-81.912680	-84.341897
35534		0.621871	-0.346622	-0.559463	-0.424418	18.131855	-81.911952	-84.395653
35535		0.621869	-0.346526	-0.559553	-0.424381	18.200469	-81.912970	-84.451330
35536		0.621920	-0.346423	-0.559610	-0.424314	18.224344	-81.910950	-84.458896
35537		0.621931	-0.346361	-0.559637	-0.424314	18.256855	-81.907746	-84.485477
35538		0.621904	-0.346345	-0.559659	-0.424338	18.292682	-81.907760	-84.521997
35539		0.621856	-0.346342	-0.559680	-0.424383	18.338580	-81.908216	-84.572022
35540		0.621821	-0.346352	-0.559705	-0.424393	18.365063	-81.911244	-84.600298
35541		0.621748	-0.346376	-0.559739	-0.424435	18.415924	-81.915457	-84.657398
35542		0.621687	-0.346319	-0.559862	-0.424409	18.514229	-81.922733	-84.747298
35543		0.621658	-0.346222	-0.559993	-0.424358	18.610239	-81.928003	-84.828714
35544		0.621582	-0.346214	-0.560079	-0.424362	18.687864	-81.935301	-84.905642
35545		0.621555	-0.346169	-0.560156	-0.424336	18.745673	-81.939241	-84.956377
35546		0.621528	-0.346169	-0.560188	-0.424334	18.771819	-81.942360	-84.982163
35547		0.621483	-0.346206	-0.560190	-0.424367	18.788061	-81.945052	-85.005072
35548		0.621438	-0.346259	-0.560176	-0.424409	18.793745	-81.947324	-85.019871
35549		0.621382	-0.346358	-0.560120	-0.424483	18.776927	-81.948898	-85.019838
35550		0.621309	-0.346423	-0.560101	-0.424562	18.799334	-81.950699	-85.055976
35551		0.621229	-0.346482	-0.560098	-0.424635	18.832337	-81.953646	-85.101707
35552		0.621212	-0.346445	-0.560171	-0.424594	18.876001	-81.958428	-85.137602
35553		0.621129	-0.346469	-0.560225	-0.424625	18.938325	-81.964758	-85.204900
35554		0.621130	-0.346387	-0.560344	-0.424534	18.997693	-81.971262	-85.247206
35555		0.621065	-0.346382	-0.560393	-0.424568	19.062568	-81.974440	-85.314804
35556		0.620975	-0.346402	-0.560424	-0.424641	19.132344	-81.977026	-85.393534
35557		0.620910	-0.346397	-0.560473	-0.424676	19.197325	-81.980181	-85.461239
35558		0.620867	-0.346382	-0.560510	-0.424702	19.247846	-81.981406	-85.512775
35559		0.620798	-0.346403	-0.560538	-0.424748	19.298162	-81.984653	-85.569443
35560		0.620729	-0.346404	-0.560571	-0.424805	19.362218	-81.986123	-85.639010
35561		0.620678	-0.346388	-0.560624	-0.424823	19.421908	-81.989075	-85.698822
35562		0.620608	-0.346415	-0.560663	-0.424852	19.470442	-81.994324	-85.752483
35563		0.620546	-0.346460	-0.560688	-0.424873	19.499435	-82.000120	-85.787618
35564		0.620506	-0.346481	-0.560729	-0.424860	19.524182	-82.006347	-85.812897
