// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B414FE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
50856		-0.824196	0.506716	-0.117924	0.223683	-62.683511	-1.851162	-29.240724
50857		-0.824899	0.505744	-0.116383	0.224097	-62.507435	-1.986438	-29.191374
50858		-0.825505	0.504942	-0.114885	0.224446	-62.355220	-2.119792	-29.138124
50859		-0.826134	0.504044	-0.113488	0.224863	-62.194035	-2.244805	-29.098471
50860		-0.826784	0.503100	-0.112099	0.225282	-62.027433	-2.367874	-29.060163
50861		-0.827420	0.502184	-0.110760	0.225654	-61.866394	-2.484516	-29.020425
50862		-0.828028	0.501290	-0.109455	0.226048	-61.709343	-2.600263	-28.985186
50863		-0.828565	0.500444	-0.108373	0.226476	-61.565654	-2.699007	-28.967044
50864		-0.829073	0.499615	-0.107405	0.226910	-61.427867	-2.788017	-28.956455
50865		-0.829542	0.498859	-0.106443	0.227309	-61.300002	-2.877008	-28.942724
50866		-0.829978	0.498218	-0.105450	0.227586	-61.186232	-2.965358	-28.914511
50867		-0.830319	0.497708	-0.104592	0.227855	-61.093739	-3.045051	-28.893191
50868		-0.830620	0.497236	-0.103943	0.228084	-61.012680	-3.103988	-28.880180
50869		-0.830924	0.496676	-0.103490	0.228403	-60.926061	-3.147098	-28.888225
50870		-0.831212	0.496116	-0.103190	0.228710	-60.843977	-3.175093	-28.903962
50871		-0.831450	0.495569	-0.103048	0.229093	-60.768265	-3.193272	-28.936775
50872		-0.831632	0.495092	-0.103061	0.229457	-60.706352	-3.198015	-28.976530
50873		-0.831764	0.494674	-0.103179	0.229828	-60.655147	-3.195274	-29.022861
50874		-0.831864	0.494280	-0.103436	0.230198	-60.611237	-3.180050	-29.077198
50875		-0.831941	0.493874	-0.103835	0.230611	-60.570163	-3.153814	-29.144210
50876		-0.831982	0.493546	-0.104270	0.230968	-60.540387	-3.123303	-29.207387
50877		-0.831934	0.493379	-0.104730	0.231291	-60.532158	-3.093786	-29.267892
50878		-0.831829	0.493330	-0.105254	0.231535	-60.541400	-3.057635	-29.323620
50879		-0.831637	0.493431	-0.105831	0.231746	-60.571685	-3.019489	-29.378553
50880		-0.831406	0.493619	-0.106434	0.231899	-60.614228	-2.978387	-29.428933
50881		-0.831136	0.493876	-0.107094	0.232013	-60.667599	-2.932022	-29.478415
50882		-0.830856	0.494182	-0.107764	0.232054	-60.727736	-2.882137	-29.520910
50883		-0.830566	0.494498	-0.108495	0.232079	-60.791179	-2.825920	-29.565317
50884		-0.830269	0.494794	-0.109350	0.232107	-60.856003	-2.757567	-29.617486
50885		-0.829994	0.495010	-0.110376	0.232148	-60.915963	-2.671442	-29.681280
50886		-0.829747	0.495108	-0.111536	0.232268	-60.964842	-2.573605	-29.761620
50887		-0.829505	0.495158	-0.112862	0.232386	-61.013192	-2.458579	-29.851739
50888		-0.829260	0.495181	-0.114329	0.232492	-61.062946	-2.328784	-29.949168
50889		-0.829094	0.495054	-0.115895	0.232580	-61.096829	-2.183681	-30.051193
50890		-0.828959	0.494905	-0.117481	0.232580	-61.129111	-2.030749	-30.145516
50891		-0.828816	0.494806	-0.119118	0.232469	-61.169984	-1.868154	-30.231563
50892		-0.828736	0.494616	-0.120824	0.232277	-61.202003	-1.691218	-30.313797
50893		-0.828728	0.494305	-0.122614	0.232030	-61.221767	-1.499084	-30.395811
50894		-0.828820	0.493864	-0.124383	0.231699	-61.224529	-1.299184	-30.468171
50895		-0.829005	0.493293	-0.126129	0.231310	-61.210433	-1.093447	-30.533603
50896		-0.829253	0.492651	-0.127859	0.230838	-61.187066	-0.881807	-30.589644
50897		-0.829567	0.491939	-0.129551	0.230287	-61.153945	-0.666432	-30.635391
50898		-0.830009	0.491050	-0.131141	0.229687	-61.095065	-0.451431	-30.670157
50899		-0.830548	0.490082	-0.132575	0.228986	-61.020782	-0.242068	-30.684955
50900		-0.831139	0.489148	-0.133807	0.228115	-60.944340	-0.042358	-30.670163
50901		-0.831825	0.488107	-0.134995	0.227146	-60.852674	0.162825	-30.642344
50902		-0.832581	0.486944	-0.136153	0.226178	-60.744424	0.369250	-30.612661
50903		-0.833377	0.485775	-0.137235	0.225105	-60.632907	0.575055	-30.567328
50904		-0.834168	0.484666	-0.138280	0.223922	-60.527838	0.781685	-30.508375
50905		-0.834934	0.483639	-0.139302	0.222651	-60.432357	0.988423	-30.438742
50906		-0.835653	0.482707	-0.140346	0.221315	-60.349935	1.197610	-30.363678
50907		-0.836318	0.481855	-0.141437	0.219961	-60.279348	1.409260	-30.289648
50908		-0.836955	0.481041	-0.142597	0.218568	-60.216002	1.628249	-30.215736
50909		-0.837607	0.480213	-0.143743	0.217136	-60.150304	1.848541	-30.136764
50910		-0.838310	0.479215	-0.144948	0.215825	-60.065273	2.072850	-30.073239
50911		-0.838987	0.478102	-0.146397	0.214678	-59.974848	2.313901	-30.040863
50912		-0.839584	0.477000	-0.147978	0.213713	-59.891023	2.556156	-30.034960
50913		-0.840166	0.475781	-0.149699	0.212942	-59.798152	2.803820	-30.056981
50914		-0.840730	0.474432	-0.151586	0.212388	-59.695846	3.058652	-30.110593
50915		-0.841273	0.472976	-0.153645	0.212008	-59.587296	3.323048	-30.192015
50916		-0.841815	0.471394	-0.155856	0.211765	-59.469658	3.597956	-30.296043
50917		-0.842304	0.469800	-0.158220	0.211610	-59.357566	3.882454	-30.418072
50918		-0.842684	0.468325	-0.160731	0.211473	-59.267513	4.175647	-30.551113
50919		-0.843039	0.466891	-0.163243	0.211303	-59.183735	4.469560	-30.681017
50920		-0.843417	0.465508	-0.165620	0.210998	-59.101846	4.757110	-30.788941
50921		-0.843707	0.464420	-0.167815	0.210501	-59.050363	5.028537	-30.867189
50922		-0.844007	0.463417	-0.169836	0.209886	-59.003041	5.287695	-30.923132
50923		-0.844324	0.462473	-0.171694	0.209184	-58.956801	5.534603	-30.960268
50924		-0.844562	0.461744	-0.173425	0.208401	-58.932757	5.766851	-30.982503
50925		-0.844716	0.461229	-0.175053	0.207554	-58.931528	5.985722	-30.993058
50926		-0.844746	0.461006	-0.176531	0.206673	-58.961213	6.182367	-30.992842
50927		-0.844698	0.460958	-0.177894	0.205806	-59.008348	6.361303	-30.988155
50928		-0.844612	0.460966	-0.179183	0.205023	-59.060012	6.526542	-30.988126
50929		-0.844476	0.461062	-0.180370	0.204326	-59.119059	6.674157	-30.991443
50930		-0.844266	0.461303	-0.181447	0.203692	-59.192315	6.802747	-30.995501
50931		-0.844015	0.461617	-0.182437	0.203139	-59.271432	6.916031	-31.003095
50932		-0.843733	0.461960	-0.183367	0.202693	-59.352424	7.016381	-31.018355
50933		-0.843406	0.462378	-0.184227	0.202319	-59.440301	7.103460	-31.037331
50934		-0.843016	0.462942	-0.184973	0.201977	-59.541993	7.172852	-31.053564
50935		-0.842613	0.463554	-0.185605	0.201670	-59.645260	7.227872	-31.066781
50936		-0.842204	0.464212	-0.186123	0.201389	-59.749597	7.269327	-31.075735
50937		-0.841799	0.464872	-0.186562	0.201157	-59.851087	7.300333	-31.084872
50938		-0.841382	0.465546	-0.186967	0.200963	-59.953181	7.325534	-31.095902
50939		-0.840976	0.466241	-0.187272	0.200766	-60.053720	7.340824	-31.100519
50940		-0.840592	0.466920	-0.187506	0.200582	-60.149137	7.349475	-31.101756
50941		-0.840188	0.467611	-0.187742	0.200442	-60.246561	7.355120	-31.107815
50942		-0.839679	0.468437	-0.188046	0.200359	-60.364314	7.358937	-31.125023
50943		-0.839109	0.469364	-0.188313	0.200329	-60.493570	7.352653	-31.146183
50944		-0.838562	0.470289	-0.188416	0.200355	-60.615829	7.327866	-31.162453
50945		-0.838006	0.471201	-0.188475	0.200482	-60.735059	7.293448	-31.186075
50946		-0.837389	0.472205	-0.188516	0.200661	-60.865419	7.250957	-31.214467
50947		-0.836654	0.473426	-0.188531	0.200833	-61.022539	7.198764	-31.242043
