// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 10B41517
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
50856		0.031131	-0.574320	0.026791	-0.817600	-13.213379	-69.629295	-166.429357
50857		0.031406	-0.574622	0.026376	-0.817391	-13.180916	-69.672840	-166.405015
50858		0.031723	-0.574922	0.025943	-0.817182	-13.151311	-69.715839	-166.372943
50859		0.032048	-0.575208	0.025476	-0.816982	-13.112881	-69.757481	-166.346217
50860		0.032329	-0.575471	0.024973	-0.816801	-13.054519	-69.797165	-166.340033
50861		0.032585	-0.575707	0.024456	-0.816640	-12.985121	-69.833974	-166.345840
50862		0.032747	-0.575912	0.023899	-0.816506	-12.884300	-69.868585	-166.387540
50863		0.032869	-0.576159	0.023280	-0.816345	-12.763560	-69.910594	-166.447358
50864		0.032915	-0.576398	0.022651	-0.816192	-12.624314	-69.952883	-166.531128
50865		0.032897	-0.576636	0.022034	-0.816041	-12.475723	-69.995814	-166.630505
50866		0.032816	-0.576880	0.021444	-0.815888	-12.322607	-70.040010	-166.741781
50867		0.032660	-0.577111	0.020896	-0.815745	-12.165152	-70.082831	-166.867058
50868		0.032473	-0.577325	0.020368	-0.815614	-12.005182	-70.123290	-166.998972
50869		0.032254	-0.577519	0.019868	-0.815498	-11.844297	-70.160970	-167.136808
50870		0.032003	-0.577669	0.019376	-0.815413	-11.675383	-70.192760	-167.286014
50871		0.031715	-0.577842	0.018870	-0.815314	-11.496791	-70.228310	-167.446745
50872		0.031358	-0.578017	0.018400	-0.815214	-11.314653	-70.264531	-167.619630
50873		0.030945	-0.578212	0.017967	-0.815102	-11.132580	-70.303451	-167.800132
50874		0.030467	-0.578386	0.017550	-0.815005	-10.940105	-70.339967	-167.997603
50875		0.029930	-0.578561	0.017157	-0.814909	-10.742286	-70.376874	-168.207345
50876		0.029337	-0.578737	0.016799	-0.814813	-10.542179	-70.413989	-168.426832
50877		0.028719	-0.578931	0.016456	-0.814705	-10.342408	-70.453434	-168.649346
50878		0.028123	-0.579139	0.016138	-0.814584	-10.153876	-70.493980	-168.860761
50879		0.027520	-0.579360	0.015858	-0.814453	-9.974836	-70.535723	-169.066336
50880		0.026937	-0.579598	0.015608	-0.814307	-9.808596	-70.579138	-169.260068
50881		0.026396	-0.579867	0.015368	-0.814139	-9.654625	-70.625874	-169.438830
50882		0.025909	-0.580130	0.015127	-0.813971	-9.510323	-70.671176	-169.603479
50883		0.025462	-0.580397	0.014886	-0.813800	-9.373122	-70.716310	-169.757659
50884		0.025077	-0.580675	0.014604	-0.813618	-9.237109	-70.762909	-169.902147
50885		0.024797	-0.580975	0.014297	-0.813418	-9.115848	-70.811437	-170.021294
50886		0.024566	-0.581292	0.013947	-0.813205	-8.992630	-70.862270	-170.134815
50887		0.024448	-0.581583	0.013508	-0.813008	-8.864881	-70.909279	-170.236230
50888		0.024382	-0.581830	0.012996	-0.812841	-8.723138	-70.950416	-170.341304
50889		0.024327	-0.582024	0.012433	-0.812713	-8.565464	-70.984659	-170.457357
50890		0.024300	-0.582180	0.011796	-0.812611	-8.389034	-71.014100	-170.583689
50891		0.024291	-0.582329	0.011068	-0.812515	-8.189948	-71.043275	-170.723790
50892		0.024322	-0.582465	0.010248	-0.812427	-7.971172	-71.071249	-170.872719
50893		0.024319	-0.582599	0.009389	-0.812342	-7.733562	-71.099446	-171.040017
